date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-02,Thursday,AN_GIANG,540009,72442,51501,67230,98626,14914,41242,21377,68932,74934,97683,88505,1764,2890,5798,4337,322,91,9d3c16886827e74b,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-09,Thursday,AN_GIANG,278091,55544,30168,95645,56331,46466,10644,87296,75190,46265,81066,73129,8298,3044,9390,4313,880,56,0bbd0e3086d16719,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-16,Thursday,AN_GIANG,512487,58255,74119,57229,81009,83034,69307,10006,40264,28940,51015,43215,9762,6904,5036,7055,988,01,94c6e5dcf1f7b6a9,https://xoso.com.vn/xsmn-16-01-2020.html,OK
2020-01-23,Thursday,AN_GIANG,809801,14875,55692,76189,50290,54610,83236,48960,64147,47900,14509,28843,1042,1484,4770,6247,375,95,9457426aaba60275,https://xoso.com.vn/xsmn-23-01-2020.html,OK
2020-01-30,Thursday,AN_GIANG,931888,72357,05617,94652,65074,94279,43870,55452,73049,65265,05668,44699,3658,0632,5645,7677,419,34,48b52f298b69165c,https://xoso.com.vn/xsmn-30-01-2020.html,OK
2020-02-06,Thursday,AN_GIANG,971108,15415,98546,11420,06249,07632,21882,62801,74404,54754,26349,61367,8254,2780,2035,7975,948,98,2cd1af5482693cbb,https://xoso.com.vn/xsmn-06-02-2020.html,OK
2020-02-13,Thursday,AN_GIANG,713835,91281,05381,24497,89521,77803,77893,98540,06539,16434,19834,51045,7474,6275,4995,5441,919,79,96dfcba7da9da21c,https://xoso.com.vn/xsmn-13-02-2020.html,OK
2020-02-20,Thursday,AN_GIANG,152507,89716,96771,11608,28163,21894,38088,39815,65000,09091,92107,89002,6598,5071,0143,2147,365,90,3c1cf2762d2b3eaa,https://xoso.com.vn/xsmn-20-02-2020.html,OK
2020-02-27,Thursday,AN_GIANG,194123,62467,78838,12127,69867,46025,77243,19344,71066,96238,48354,58180,2249,4850,5324,9607,434,66,13ce7d3f007d1ecb,https://xoso.com.vn/xsmn-27-02-2020.html,OK
2020-03-05,Thursday,AN_GIANG,567672,28777,89763,71252,90154,93449,88319,39133,19657,00491,81414,42936,2060,2063,2719,3376,699,56,e0fed05d290c6158,https://xoso.com.vn/xsmn-05-03-2020.html,OK
2020-03-12,Thursday,AN_GIANG,578904,38079,40687,25656,26516,10995,27518,94163,22510,08318,95499,92349,6419,5334,3994,6014,885,64,4cf1148631002520,https://xoso.com.vn/xsmn-12-03-2020.html,OK
2020-03-19,Thursday,AN_GIANG,971340,45192,31769,39067,38501,05737,10900,66168,09707,73198,28868,36896,1238,6743,4427,9054,025,06,2c886820910a87b7,https://xoso.com.vn/xsmn-19-03-2020.html,OK
2020-03-26,Thursday,AN_GIANG,780980,47874,03011,89607,22104,78445,12708,10862,21733,56924,38138,68111,6860,2931,4722,5482,154,17,1f09e906e39a4a95,https://xoso.com.vn/xsmn-26-03-2020.html,OK
2020-04-30,Thursday,AN_GIANG,024600,21804,57600,80497,20886,82718,59348,05690,22596,36183,46677,88068,3738,4054,9075,9234,958,51,bf693d53b21255e0,https://xoso.com.vn/xsmn-30-04-2020.html,OK
2020-05-07,Thursday,AN_GIANG,669390,67331,90819,48303,06976,89868,87222,02701,23401,01207,45943,69828,8992,9799,8687,9118,967,96,835836a478def35f,https://xoso.com.vn/xsmn-07-05-2020.html,OK
2020-05-14,Thursday,AN_GIANG,478426,34401,09598,76269,15912,97437,25613,24397,08231,45232,83122,21459,4498,3570,2271,2327,056,25,4c3bfc8a18e64abe,https://xoso.com.vn/xsmn-14-05-2020.html,OK
2020-05-21,Thursday,AN_GIANG,945221,78112,96420,34564,22524,52956,40415,95322,83735,41374,88482,77956,3480,2038,7868,6007,951,46,dbd849a0d05637c5,https://xoso.com.vn/xsmn-21-05-2020.html,OK
