date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-07,Tuesday,BAC_LIEU,096701,55664,17856,59319,49623,25193,07374,40717,98329,93022,03529,67941,2325,2996,8592,5726,967,57,ce7b8ace193c3f50,https://xoso.com.vn/xsmn-07-01-2020.html,OK
2020-01-14,Tuesday,BAC_LIEU,246511,04099,21772,25659,95241,53327,87145,96004,59619,27169,53956,61403,8256,1897,5008,4717,920,72,444149928a99f1ad,https://xoso.com.vn/xsmn-14-01-2020.html,OK
2020-01-21,Tuesday,BAC_LIEU,362747,52502,75535,36739,76133,58648,07586,82958,13551,78792,10322,92596,3264,1637,0990,1047,898,37,2897088b6ca116d1,https://xoso.com.vn/xsmn-21-01-2020.html,OK
2020-01-28,Tuesday,BAC_LIEU,335205,86036,39587,38431,67357,73939,52868,99955,00688,86949,68809,61377,6367,7081,8095,5205,089,45,087c0d85735509dd,https://xoso.com.vn/xsmn-28-01-2020.html,OK
2020-02-04,Tuesday,BAC_LIEU,794431,85725,27942,71650,25520,39744,90738,91232,60200,37598,44075,78569,6539,0675,3299,0386,406,84,da890db6d859c40e,https://xoso.com.vn/xsmn-04-02-2020.html,OK
2020-02-11,Tuesday,BAC_LIEU,808233,18163,44856,51273,39755,86935,36615,40327,53628,08467,37111,67922,3882,1771,6848,6410,079,43,87f3dc1ec0f49057,https://xoso.com.vn/xsmn-11-02-2020.html,OK
2020-02-18,Tuesday,BAC_LIEU,631710,42086,43024,09868,72249,11291,11709,81613,15102,85457,80496,93686,8245,1656,1754,4317,659,56,4e03917d61e991ca,https://xoso.com.vn/xsmn-18-02-2020.html,OK
2020-02-25,Tuesday,BAC_LIEU,906581,30430,52412,69112,98904,78168,40534,51741,19547,21477,89120,37616,4530,8503,3095,1129,899,59,629d1cf78b37f962,https://xoso.com.vn/xsmn-25-02-2020.html,OK
2020-03-03,Tuesday,BAC_LIEU,084706,21124,43866,37236,45453,10050,58717,42231,63907,06760,85979,75556,4411,8073,0816,6972,859,96,966523aafe4d63d6,https://xoso.com.vn/xsmn-03-03-2020.html,OK
2020-03-10,Tuesday,BAC_LIEU,964406,59384,81830,86728,62333,73127,95606,08763,73570,43568,00299,10130,8136,6967,7709,9457,103,41,df0536bfc7587c5b,https://xoso.com.vn/xsmn-10-03-2020.html,OK
2020-03-17,Tuesday,BAC_LIEU,164525,93481,77683,47342,71200,71809,93653,54978,56764,26575,49630,53621,8037,3689,7170,8085,947,08,989181e9fad3f463,https://xoso.com.vn/xsmn-17-03-2020.html,OK
2020-03-24,Tuesday,BAC_LIEU,986587,90574,12083,21006,87631,22758,50572,31116,39911,73600,51701,37490,8031,1898,8256,2410,354,06,278f1b35266e3fda,https://xoso.com.vn/xsmn-24-03-2020.html,OK
2020-03-31,Tuesday,BAC_LIEU,313713,10519,17180,66885,49990,32333,44776,60651,93994,97295,20760,62340,4703,0593,5994,7137,680,43,acf431a89d00fe98,https://xoso.com.vn/xsmn-31-03-2020.html,OK
2020-05-05,Tuesday,BAC_LIEU,916296,68351,30630,73916,40480,71742,04737,91087,58872,39597,06604,76387,1230,0351,4744,7472,043,97,deb9274b47d85317,https://xoso.com.vn/xsmn-05-05-2020.html,OK
2020-05-12,Tuesday,BAC_LIEU,096097,98525,69725,63348,24221,16115,06671,50900,40870,60179,84300,58563,6059,9151,7144,5389,852,77,3481f5d1cf02a05d,https://xoso.com.vn/xsmn-12-05-2020.html,OK
2020-05-19,Tuesday,BAC_LIEU,083623,28792,47358,98898,52110,49520,99954,93235,51984,98636,61345,38508,6827,5843,9336,5792,757,81,a325a5dc8e4cee6a,https://xoso.com.vn/xsmn-19-05-2020.html,OK
2020-05-26,Tuesday,BAC_LIEU,005143,50346,29417,63522,26256,39914,86472,01807,40339,52549,92552,73550,3820,4260,8630,1852,852,46,73f1deff1a9fe2e0,https://xoso.com.vn/xsmn-26-05-2020.html,OK
2020-06-02,Tuesday,BAC_LIEU,449362,07664,64252,30247,41220,28887,52975,32549,86763,59095,15444,97289,3837,1699,9216,8651,809,23,e87cbc2a869debe3,https://xoso.com.vn/xsmn-02-06-2020.html,OK
2020-06-09,Tuesday,BAC_LIEU,660409,57197,94826,35818,93214,86532,41672,62404,85668,99505,70364,85493,4052,3732,7145,9578,017,92,bf2a90e531bc1879,https://xoso.com.vn/xsmn-09-06-2020.html,OK
2020-06-16,Tuesday,BAC_LIEU,390991,45078,16726,75148,34503,16817,32788,22028,62201,01405,44256,04651,2366,4856,1238,6687,209,75,af8835d2b83c876c,https://xoso.com.vn/xsmn-16-06-2020.html,OK
2020-06-23,Tuesday,BAC_LIEU,883277,06043,79100,66004,59273,15521,96305,63755,58187,25234,30616,09844,0499,9153,4470,3157,379,07,42a1a59fe435dd77,https://xoso.com.vn/xsmn-23-06-2020.html,OK
2020-06-30,Tuesday,BAC_LIEU,248483,09766,32773,84119,88908,67491,54271,20286,18562,47742,80077,71885,6139,3489,2462,3373,469,95,ff46016b2b0f0867,https://xoso.com.vn/xsmn-30-06-2020.html,OK
2020-07-07,Tuesday,BAC_LIEU,250160,57200,94770,76112,30296,63386,14543,02245,99295,98956,75658,77063,8616,1415,8646,4728,556,13,11f6f4a2c933a137,https://xoso.com.vn/xsmn-07-07-2020.html,OK
2020-07-14,Tuesday,BAC_LIEU,757053,87090,27170,99475,16162,35163,45921,40369,92495,98723,11623,90445,5119,6546,5008,4271,279,13,ec49c06f71936ee8,https://xoso.com.vn/xsmn-14-07-2020.html,OK
