date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-03,Friday,BINH_DUONG,071075,59909,40489,61128,87353,91544,27614,79574,42212,41272,25299,47459,2356,6877,1002,0124,682,91,2beeec4aad56a18b,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-10,Friday,BINH_DUONG,471406,20609,19689,75082,89646,39215,78664,70144,43896,11994,52607,99367,0009,3929,5454,2475,931,83,c056800735f87e82,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-17,Friday,BINH_DUONG,848661,31237,38776,26724,68568,34855,43565,18199,51979,92804,10268,79358,0421,1066,7531,4892,286,95,5880e465a69d15e5,https://xoso.com.vn/xsmn-17-01-2020.html,OK
2020-01-24,Friday,BINH_DUONG,086430,13018,68380,38356,54661,49241,49190,30701,22309,93540,50452,24178,3803,2209,0078,7663,463,85,1033d3aabc1aad95,https://xoso.com.vn/xsmn-24-01-2020.html,OK
2020-01-31,Friday,BINH_DUONG,465792,43168,06318,91736,37099,45057,00228,10476,59228,30617,48520,55556,1553,1636,0421,2735,829,48,4427a103c7082bfd,https://xoso.com.vn/xsmn-31-01-2020.html,OK
2020-02-07,Friday,BINH_DUONG,161425,92115,76936,29600,24248,22656,94341,72075,02528,62250,56169,29641,3894,9524,9276,5164,020,58,4db948ef3a980229,https://xoso.com.vn/xsmn-07-02-2020.html,OK
2020-02-14,Friday,BINH_DUONG,561317,43399,21299,35466,77355,36368,68908,80902,94495,52999,98186,48576,3323,5419,5156,5438,290,09,0272f02ff88ea3ba,https://xoso.com.vn/xsmn-14-02-2020.html,OK
2020-02-21,Friday,BINH_DUONG,882650,49605,54590,29624,99515,82038,33577,78661,36736,94064,05570,48504,3292,6958,1518,8444,883,91,81845d2a1e7fed28,https://xoso.com.vn/xsmn-21-02-2020.html,OK
2020-02-28,Friday,BINH_DUONG,654620,29728,97076,89696,91365,72471,88962,63987,56371,23489,01888,89462,9330,6475,9071,2005,444,45,1ad581bc33aa20ee,https://xoso.com.vn/xsmn-28-02-2020.html,OK
2020-03-06,Friday,BINH_DUONG,979886,10912,56651,81225,69046,82259,61333,60776,33668,76895,87889,05360,2722,6931,9025,0504,696,83,7ec9145c91c8b57e,https://xoso.com.vn/xsmn-06-03-2020.html,OK
2020-03-13,Friday,BINH_DUONG,594682,19993,22185,22670,39119,03698,00178,18305,64394,95708,25299,91030,8681,3554,1742,8111,504,37,06960747ec3688ec,https://xoso.com.vn/xsmn-13-03-2020.html,OK
