date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-04,Saturday,BINH_PHUOC,503775,64421,00466,69689,93436,11456,47691,14635,20647,18824,83098,82212,6237,3179,7713,6594,350,03,4d3b24158a889239,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-11,Saturday,BINH_PHUOC,043635,32767,18103,28623,08985,16776,52068,22828,83689,88881,94160,59283,6817,6173,4529,8741,857,17,83772ff14e4f7656,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-18,Saturday,BINH_PHUOC,131804,80901,60038,23652,19185,51136,73179,79232,45084,70327,51913,35790,8682,3323,9199,1518,996,41,d10b4efc589a84f3,https://xoso.com.vn/xsmn-18-01-2020.html,OK
2020-01-25,Saturday,BINH_PHUOC,753128,21673,72333,26505,22063,66776,96302,11672,77584,79044,74659,51105,7334,9053,4698,3001,704,25,810cfb85de1f6cbd,https://xoso.com.vn/xsmn-25-01-2020.html,OK
2020-02-01,Saturday,BINH_PHUOC,177216,11457,28913,20594,89620,77894,72733,15488,28732,25430,44307,91531,3762,8693,5857,5419,428,62,0bd1066937ad0c45,https://xoso.com.vn/xsmn-01-02-2020.html,OK
2020-02-08,Saturday,BINH_PHUOC,281727,26088,84706,34289,42142,50008,54275,01999,53205,20522,72911,22025,2333,6765,7181,6686,755,27,ec430c5bf8b1cf18,https://xoso.com.vn/xsmn-08-02-2020.html,OK
2020-02-15,Saturday,BINH_PHUOC,920436,99237,46527,68160,49249,82845,70304,98278,44230,98243,99122,45951,0903,1884,4622,1344,261,15,cb59213b26fe09d3,https://xoso.com.vn/xsmn-15-02-2020.html,OK
2020-02-22,Saturday,BINH_PHUOC,590303,06559,49534,47610,54701,13013,79452,74357,34854,04009,73408,52108,6971,0564,8415,9880,855,75,41cc953e8643a107,https://xoso.com.vn/xsmn-22-02-2020.html,OK
2020-02-29,Saturday,BINH_PHUOC,747524,12045,60228,72165,75309,54344,75389,28279,65918,99332,60869,64415,0622,5945,6048,1429,355,82,d48fb11b518a4508,https://xoso.com.vn/xsmn-29-02-2020.html,OK
2020-03-07,Saturday,BINH_PHUOC,747641,74310,38405,93083,85390,98901,62823,08056,37932,41945,07567,69583,9265,8346,6886,7689,737,07,241ac60b67a016f9,https://xoso.com.vn/xsmn-07-03-2020.html,OK
