date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-02,Thursday,BINH_THUAN,252800,10437,08161,74021,34040,91699,64153,68253,29905,56496,12725,13063,4163,7896,5905,3780,698,69,5b40bfb1db4e672e,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-09,Thursday,BINH_THUAN,896922,60435,73488,96930,18371,85401,79701,90087,70072,14976,51238,13079,7602,8287,1692,5855,797,89,539804031378261b,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-16,Thursday,BINH_THUAN,201398,66016,80812,77826,13461,20402,76800,96191,63547,67876,53787,16958,3189,6402,1596,2813,827,51,ea84716f05d8c977,https://xoso.com.vn/xsmn-16-01-2020.html,OK
2020-01-23,Thursday,BINH_THUAN,969492,16722,09304,63983,68166,30705,08574,41642,60586,29530,94414,38501,8750,2771,1741,7355,225,65,7f2a95072a94d204,https://xoso.com.vn/xsmn-23-01-2020.html,OK
2020-01-30,Thursday,BINH_THUAN,410055,00672,76401,01070,27670,19711,43925,37373,92273,23883,45981,67308,5730,0932,2494,6451,756,89,812bdc2ec476b627,https://xoso.com.vn/xsmn-30-01-2020.html,OK
2020-02-06,Thursday,BINH_THUAN,212382,22449,16161,69965,05672,68049,78787,87095,00840,97207,83697,77010,1062,1701,9713,1075,211,24,c0a817c4f4119c84,https://xoso.com.vn/xsmn-06-02-2020.html,OK
2020-02-13,Thursday,BINH_THUAN,611281,42033,06152,55617,70991,51198,06598,87651,81543,36722,86887,54341,3373,3700,6765,6525,110,70,9a64737123c33f60,https://xoso.com.vn/xsmn-13-02-2020.html,OK
2020-02-20,Thursday,BINH_THUAN,515653,27158,16928,78693,26800,58279,18617,30673,89292,21033,01051,05019,3334,6073,3608,4680,088,09,6f3d7b82a4de9edb,https://xoso.com.vn/xsmn-20-02-2020.html,OK
2020-02-27,Thursday,BINH_THUAN,661449,51988,39593,69490,72139,57021,35703,58259,56718,76478,85727,00694,6898,6286,3601,4776,035,32,832e44d368ad6f62,https://xoso.com.vn/xsmn-27-02-2020.html,OK
2020-03-05,Thursday,BINH_THUAN,593643,12514,29333,52097,38440,91605,79301,99806,83305,61371,06210,55241,9136,4645,0264,5536,498,30,5a98251d6c99c85a,https://xoso.com.vn/xsmn-05-03-2020.html,OK
2020-03-12,Thursday,BINH_THUAN,798011,35649,26922,73331,85820,09144,53800,52109,66272,86289,41320,93012,1521,6265,3015,4166,427,09,d89610e1e8443316,https://xoso.com.vn/xsmn-12-03-2020.html,OK
2020-03-19,Thursday,BINH_THUAN,545912,61568,26988,58482,48696,07465,95691,51015,64755,85901,05047,43190,4605,1466,6555,8781,331,54,6faf9dabdf98c3d8,https://xoso.com.vn/xsmn-19-03-2020.html,OK
2020-03-26,Thursday,BINH_THUAN,908695,06584,87124,09203,22194,13193,14086,13657,52735,15442,00920,00745,1020,5415,1809,5621,245,55,8734051ecf83a687,https://xoso.com.vn/xsmn-26-03-2020.html,OK
2020-04-30,Thursday,BINH_THUAN,177799,73713,56192,92675,04764,98717,07418,02417,27221,89138,72581,88947,5684,8709,6051,5209,376,32,8a20d970494676fc,https://xoso.com.vn/xsmn-30-04-2020.html,OK
2020-05-07,Thursday,BINH_THUAN,335885,65019,63249,01258,21071,55671,70990,13982,59464,37275,00040,87205,3165,0128,9577,2162,846,24,828c3f2c0ef48ecc,https://xoso.com.vn/xsmn-07-05-2020.html,OK
2020-05-14,Thursday,BINH_THUAN,636732,82506,21005,95263,08176,77326,70053,69579,39842,56151,02859,98600,8451,1402,4122,4065,728,71,73f087826a92bdd5,https://xoso.com.vn/xsmn-14-05-2020.html,OK
2020-05-21,Thursday,BINH_THUAN,444737,78959,60916,07573,17259,11475,92097,83100,50243,40450,54856,84542,7363,7506,6294,4107,379,60,af5b5c0fb46ee05b,https://xoso.com.vn/xsmn-21-05-2020.html,OK
2020-05-28,Thursday,BINH_THUAN,251284,38878,45171,11663,05003,90732,51673,90863,20188,47590,22794,09035,4151,3825,1471,3891,371,10,4ef4ff088ed42725,https://xoso.com.vn/xsmn-28-05-2020.html,OK
2020-06-04,Thursday,BINH_THUAN,245334,28725,50092,43722,93216,41861,74412,37000,66944,84362,71981,56243,8507,4698,2298,4005,909,73,1655d0dc819aa934,https://xoso.com.vn/xsmn-04-06-2020.html,OK
2020-06-11,Thursday,BINH_THUAN,675905,20043,69332,92384,48463,25529,00474,49252,04837,32455,09291,93081,3455,6639,0403,5796,804,68,74d092a374f8755b,https://xoso.com.vn/xsmn-11-06-2020.html,OK
2020-06-18,Thursday,BINH_THUAN,881465,96331,15677,99000,71088,25963,94847,01217,17791,70448,37479,48226,3253,2879,6897,1774,875,23,44dd0cc23473c7d3,https://xoso.com.vn/xsmn-18-06-2020.html,OK
2020-06-25,Thursday,BINH_THUAN,720594,45591,54272,30628,98373,23448,52856,36309,26279,54251,68857,67057,0956,1946,5282,0460,945,18,6cfa56f08d8562d4,https://xoso.com.vn/xsmn-25-06-2020.html,OK
2020-07-02,Thursday,BINH_THUAN,868838,22761,61739,61522,35868,90673,23824,59930,58343,73465,00258,54362,3714,8440,9498,8035,921,51,75eb2a0609d21dfe,https://xoso.com.vn/xsmn-02-07-2020.html,OK
2020-07-09,Thursday,BINH_THUAN,801879,18064,44375,42160,26180,15624,51893,66777,66173,08071,07045,03674,5005,7972,8675,8829,727,73,03725f917ece4d45,https://xoso.com.vn/xsmn-09-07-2020.html,OK
2020-07-16,Thursday,BINH_THUAN,541757,72368,39566,02749,56103,38341,62124,37702,80189,59729,31992,82469,2312,2431,6227,8586,689,17,7f733468d9f3b71e,https://xoso.com.vn/xsmn-16-07-2020.html,OK
2020-07-23,Thursday,BINH_THUAN,898948,37166,70361,03186,67427,59633,19001,34632,19395,30151,58157,39947,6442,5827,4105,4619,788,35,8b6ad0e89752a8a0,https://xoso.com.vn/xsmn-23-07-2020.html,OK
2020-07-30,Thursday,BINH_THUAN,205085,21233,90179,25152,24194,45518,07891,21183,88221,34206,99628,17098,9304,0497,9106,4491,713,87,e52e5cd623a29bb2,https://xoso.com.vn/xsmn-30-07-2020.html,OK
2020-08-06,Thursday,BINH_THUAN,066008,08900,73569,48632,77284,07287,81558,06766,26172,72494,90377,53854,4148,1712,0170,3655,001,85,97d5d08808bc7aae,https://xoso.com.vn/xsmn-06-08-2020.html,OK
2020-08-13,Thursday,BINH_THUAN,439016,13754,11474,81350,61759,95099,94750,73998,02532,15083,20818,52339,5652,7569,5566,4245,813,98,dfb1c0695d36bf0e,https://xoso.com.vn/xsmn-13-08-2020.html,OK
