date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-01,Wednesday,CAN_THO,091446,12588,46839,01317,57809,68049,94813,46650,54953,93791,69233,30021,1080,7443,8510,1365,288,67,daa11e4a7c01fd6a,https://xoso.com.vn/xsmn-01-01-2020.html,OK
2020-01-08,Wednesday,CAN_THO,778670,22967,85733,62536,44697,06656,38478,01969,08257,66419,01782,01522,3125,8060,7604,5410,545,72,63f53bdd2aa13b72,https://xoso.com.vn/xsmn-08-01-2020.html,OK
2020-01-15,Wednesday,CAN_THO,150419,23680,14863,96750,83870,86686,39248,42449,06671,14058,98175,91268,8969,5583,1838,4276,577,06,89ecefe1fd3732fb,https://xoso.com.vn/xsmn-15-01-2020.html,OK
2020-01-22,Wednesday,CAN_THO,470991,78977,95040,09693,13747,78464,00337,70685,02989,79868,72983,31797,7027,5062,6594,1556,599,05,b7a7ce3a39b34413,https://xoso.com.vn/xsmn-22-01-2020.html,OK
2020-01-29,Wednesday,CAN_THO,545810,58720,59539,75737,18807,45869,98479,20265,76281,89662,85043,72092,6816,8366,5892,1720,158,73,5b1afba32a75f20d,https://xoso.com.vn/xsmn-29-01-2020.html,OK
2020-02-05,Wednesday,CAN_THO,369663,73234,22040,17289,53667,22945,57619,28931,56336,32282,17320,17466,7909,1630,9983,5171,049,12,650e37463acb9911,https://xoso.com.vn/xsmn-05-02-2020.html,OK
2020-02-12,Wednesday,CAN_THO,372850,33711,07145,46874,71939,68044,59324,91403,94670,66996,56285,33640,4174,7698,0693,2304,744,38,271821e5e65bd483,https://xoso.com.vn/xsmn-12-02-2020.html,OK
2020-02-19,Wednesday,CAN_THO,214910,25815,05609,04610,02496,68212,96233,88623,92122,54903,68076,11323,8263,7481,7520,3076,507,71,34f3619dd9cfe28d,https://xoso.com.vn/xsmn-19-02-2020.html,OK
2020-02-26,Wednesday,CAN_THO,704378,43942,35640,12344,92346,97883,61269,01732,07521,74720,88009,49057,5584,7998,4844,9702,005,81,c8b1cdbc6ebbb4a6,https://xoso.com.vn/xsmn-26-02-2020.html,OK
2020-03-04,Wednesday,CAN_THO,431049,02293,24084,83070,37233,04710,49419,94742,79294,03264,25523,31971,6179,8430,4659,3714,750,15,109995b15085243b,https://xoso.com.vn/xsmn-04-03-2020.html,OK
2020-03-11,Wednesday,CAN_THO,650550,12210,04498,29024,96243,87910,15019,30486,33618,00816,31751,15862,0876,3931,1439,1106,569,49,e3244c6c92f8c25d,https://xoso.com.vn/xsmn-11-03-2020.html,OK
2020-03-18,Wednesday,CAN_THO,144739,68739,85133,76645,00133,59142,13641,99551,56893,74090,71332,82405,3641,5038,2791,8183,322,65,9747016531831259,https://xoso.com.vn/xsmn-18-03-2020.html,OK
2020-03-25,Wednesday,CAN_THO,643219,73626,69997,97541,86907,93808,36387,99093,02905,25941,62221,64566,6807,5561,3263,5070,630,55,9c6538f7c78a5894,https://xoso.com.vn/xsmn-25-03-2020.html,OK
