date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-06,Monday,CA_MAU,758611,41227,09612,99692,07807,89544,24506,60378,29161,16308,23198,78031,9514,1676,4452,8864,568,90,93c263e44e8e7559,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-13,Monday,CA_MAU,009069,20051,18643,31649,70134,38380,72643,83828,59286,39562,67164,51414,5197,7256,9164,8966,334,22,7b0a8dcc0d1dddaa,https://xoso.com.vn/xsmn-13-01-2020.html,OK
2020-01-20,Monday,CA_MAU,413783,00908,30926,51682,69153,92876,97100,61722,10571,82882,03106,91772,3457,2071,7027,2320,796,34,b780126d63d0d492,https://xoso.com.vn/xsmn-20-01-2020.html,OK
2020-01-27,Monday,CA_MAU,576087,90879,68058,02000,02498,45979,72003,02161,85214,41732,77820,23510,2566,5970,5315,2796,428,88,5fa87f4d3f67fcef,https://xoso.com.vn/xsmn-27-01-2020.html,OK
2020-02-03,Monday,CA_MAU,866936,80089,37131,06967,78522,46068,30622,73480,65309,99347,59415,04683,2609,5581,1026,4166,721,44,74067f0e6bb36cb4,https://xoso.com.vn/xsmn-03-02-2020.html,OK
2020-02-10,Monday,CA_MAU,145366,16210,93601,78623,27837,95339,59186,45636,26215,87822,72264,52081,9200,8335,1782,1500,026,65,3377065c4c830666,https://xoso.com.vn/xsmn-10-02-2020.html,OK
2020-02-17,Monday,CA_MAU,549692,62534,94317,30658,45007,93286,31503,92294,09533,81198,02447,58721,8012,6499,1240,7342,756,10,beac0e6302c81e5e,https://xoso.com.vn/xsmn-17-02-2020.html,OK
2020-02-24,Monday,CA_MAU,288797,90379,22879,01852,41609,20630,86577,13806,27130,19643,04572,47730,2390,2518,0375,2310,830,87,9e3f995664a09405,https://xoso.com.vn/xsmn-24-02-2020.html,OK
2020-03-02,Monday,CA_MAU,836777,57690,57206,33059,55428,39719,41323,66233,83553,30910,44197,28606,3081,8037,5421,5629,090,33,b42cc1e5f965c7a2,https://xoso.com.vn/xsmn-02-03-2020.html,OK
2020-03-09,Monday,CA_MAU,236002,60872,59858,90422,17912,50654,89770,32001,96638,76178,21398,92293,6023,2791,0097,4141,812,13,14d6b02ae3fe72cc,https://xoso.com.vn/xsmn-09-03-2020.html,OK
2020-03-16,Monday,CA_MAU,183340,36990,74712,20621,80072,56923,16497,15111,89121,32815,02782,53816,4228,3360,5528,7267,954,81,3c851c0716e2e471,https://xoso.com.vn/xsmn-16-03-2020.html,OK
2020-03-23,Monday,CA_MAU,560263,18343,35439,94021,43678,06022,82966,32901,40327,57128,04823,66073,5977,8796,6422,4365,791,24,eb17ad529bc17029,https://xoso.com.vn/xsmn-23-03-2020.html,OK
2020-03-30,Monday,CA_MAU,389804,94265,27240,29148,60228,78698,78751,08592,68454,91206,78783,58646,3828,2688,5439,4422,361,42,c38549b280dd0ded,https://xoso.com.vn/xsmn-30-03-2020.html,OK
2020-05-04,Monday,CA_MAU,773597,68348,39768,45591,42659,29794,16923,81239,78265,61307,87406,15360,0687,3413,2799,8099,157,87,0527768ce42c2e52,https://xoso.com.vn/xsmn-04-05-2020.html,OK
2020-05-11,Monday,CA_MAU,320212,44034,33590,55928,82466,22360,22400,77535,91270,35841,32139,35407,8606,2915,3046,6765,969,98,e1a6512408e3b613,https://xoso.com.vn/xsmn-11-05-2020.html,OK
2020-05-18,Monday,CA_MAU,081098,04868,77304,37290,30406,43481,79101,49967,28778,20149,14031,33533,6096,6821,5586,2232,194,82,f0c0b9000b3dfcf3,https://xoso.com.vn/xsmn-18-05-2020.html,OK
2020-05-25,Monday,CA_MAU,971238,14364,68155,03976,85499,91221,14066,44351,99033,18069,95532,97572,2288,6836,2755,3306,756,26,651464cfe19806c8,https://xoso.com.vn/xsmn-25-05-2020.html,OK
2020-06-01,Monday,CA_MAU,295533,97600,80317,31217,36171,50793,68989,24408,96245,19723,24036,60558,9206,5758,0043,8762,581,38,af049303c06884d7,https://xoso.com.vn/xsmn-01-06-2020.html,OK
2020-06-08,Monday,CA_MAU,211459,24564,62530,21236,81318,28007,77408,31455,09771,18562,73068,22098,7567,1865,1333,8619,150,97,408d95a615e6a7a2,https://xoso.com.vn/xsmn-08-06-2020.html,OK
2020-06-15,Monday,CA_MAU,136634,94337,70472,58903,96874,00013,72540,74657,31768,62659,27211,96012,1609,9089,9208,6945,892,74,147c342679c5e4e4,https://xoso.com.vn/xsmn-15-06-2020.html,OK
2020-06-22,Monday,CA_MAU,659598,70025,52846,56985,76345,71994,07197,07072,12615,20043,72991,53655,7124,2695,6518,8712,200,84,46bdad050ac9bd0f,https://xoso.com.vn/xsmn-22-06-2020.html,OK
