date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-05,Sunday,DA_LAT,096736,14216,09250,59091,96757,72204,06468,82062,05122,01482,88080,93999,1081,1004,0367,7441,013,20,c5bec5e0c7a07435,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-12,Sunday,DA_LAT,194598,85859,42392,74963,03512,74637,09813,37645,92813,66252,96673,28978,4436,7191,4287,4748,093,97,1f8cfada3316f292,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-19,Sunday,DA_LAT,320023,01854,85655,27309,66294,80624,02870,29966,14610,64664,14546,78281,4506,2849,6860,1883,717,16,07af6540909cc3d7,https://xoso.com.vn/xsmn-19-01-2020.html,OK
2020-01-26,Sunday,DA_LAT,202567,75198,53850,50331,85113,31783,76972,73936,48276,05132,98663,94582,7593,7571,2061,5752,613,05,959feafe5b2c5ab0,https://xoso.com.vn/xsmn-26-01-2020.html,OK
2020-02-02,Sunday,DA_LAT,155716,11043,82577,39686,96431,78880,86836,59009,69866,55376,17664,05772,7928,9079,4414,1741,649,18,b121a01a0484febf,https://xoso.com.vn/xsmn-02-02-2020.html,OK
2020-02-09,Sunday,DA_LAT,088233,80875,70035,23945,05526,84354,64489,10721,95192,77065,69600,52865,3640,4686,1732,8910,772,95,d0c9167310cc08e4,https://xoso.com.vn/xsmn-09-02-2020.html,OK
2020-02-16,Sunday,DA_LAT,672718,05275,89128,59418,45197,95646,60902,32408,64227,04202,56069,71765,9844,3938,7893,3012,437,56,d9caa3eabd0ab5a5,https://xoso.com.vn/xsmn-16-02-2020.html,OK
2020-02-23,Sunday,DA_LAT,281572,10921,99420,96375,04459,43351,70859,18015,51623,31166,73353,02016,1208,0164,7166,6066,711,80,b1f7952ac6e0a127,https://xoso.com.vn/xsmn-23-02-2020.html,OK
2020-03-01,Sunday,DA_LAT,535590,38173,95547,93038,67395,02896,50280,90955,27373,71526,78758,52015,9854,4499,2137,6941,421,33,511b786301678b9d,https://xoso.com.vn/xsmn-01-03-2020.html,OK
2020-03-08,Sunday,DA_LAT,222376,10712,35225,69391,40657,91421,47738,12751,59015,98820,41137,87158,5732,3802,4485,5172,889,85,9a24f657b4b03871,https://xoso.com.vn/xsmn-08-03-2020.html,OK
2020-03-15,Sunday,DA_LAT,197002,75485,17536,87428,68654,44548,37821,94903,02252,64452,88703,46000,5274,4916,4518,7034,026,85,802c51e2bbae884a,https://xoso.com.vn/xsmn-15-03-2020.html,OK
2020-03-22,Sunday,DA_LAT,145498,02014,91939,30842,63197,31339,10190,18397,43403,94020,80831,12579,8241,7209,0146,5740,025,17,6e885da4c4733adb,https://xoso.com.vn/xsmn-22-03-2020.html,OK
2020-03-29,Sunday,DA_LAT,864922,25784,63894,32307,08107,59530,12179,94626,22284,25576,39946,41230,9811,3265,5814,2774,895,19,ed721aae608e085e,https://xoso.com.vn/xsmn-29-03-2020.html,OK
2020-05-03,Sunday,DA_LAT,534833,25080,33617,88506,31073,15420,65922,23244,68813,25127,18986,87062,7421,1515,6533,9735,141,57,9ac9f58ffa5436df,https://xoso.com.vn/xsmn-03-05-2020.html,OK
2020-05-10,Sunday,DA_LAT,142159,34844,63600,88632,74528,98621,40986,48042,82867,56594,86794,24921,8948,0810,8116,9123,041,60,d583b73d98c4956d,https://xoso.com.vn/xsmn-10-05-2020.html,OK
2020-05-17,Sunday,DA_LAT,289736,34471,28703,27256,50421,00494,32486,93451,48912,32786,80268,09149,7825,3124,1895,5198,389,30,093bc5bb72982f6f,https://xoso.com.vn/xsmn-17-05-2020.html,OK
2020-05-24,Sunday,DA_LAT,324790,81188,12234,98539,14570,58243,73050,55132,14915,85286,46084,03269,9736,3232,3564,1408,864,83,0b9eed177004a0dc,https://xoso.com.vn/xsmn-24-05-2020.html,OK
