date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-06,Monday,DONG_THAP,661676,35629,57493,57156,44052,08057,41837,22255,56202,84010,90776,13645,4305,2763,4884,3174,897,51,37a819efada7373c,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-13,Monday,DONG_THAP,048684,95029,44098,22335,58879,37750,46624,38965,42957,84453,71756,76759,1996,0943,6445,4983,730,99,f466a987a5deb3a1,https://xoso.com.vn/xsmn-13-01-2020.html,OK
2020-01-20,Monday,DONG_THAP,026183,04236,07364,95650,32158,54867,92761,17562,59625,77589,80984,05379,1176,3913,3367,5198,032,15,f0fc9d98d434bd72,https://xoso.com.vn/xsmn-20-01-2020.html,OK
2020-01-27,Monday,DONG_THAP,535779,78940,22871,14744,92847,87926,82867,53891,92634,63339,83224,86248,9096,0102,4249,3247,432,70,5d00813c473d0175,https://xoso.com.vn/xsmn-27-01-2020.html,OK
2020-02-03,Monday,DONG_THAP,443764,31364,56356,55556,45078,17559,08219,20601,26019,34086,08825,99266,4877,9528,7463,6233,405,13,7e4f9a75ddd2c0d4,https://xoso.com.vn/xsmn-03-02-2020.html,OK
2020-02-10,Monday,DONG_THAP,805978,19843,99573,46468,15968,94149,33335,13199,38561,07719,77223,74658,9185,8153,2916,4221,509,88,ff8f67951d619d59,https://xoso.com.vn/xsmn-10-02-2020.html,OK
2020-02-17,Monday,DONG_THAP,984741,10388,25525,18110,51398,37239,33783,55197,02464,24925,03262,48181,7942,3863,7965,4971,492,03,c45d0c1531a497b6,https://xoso.com.vn/xsmn-17-02-2020.html,OK
2020-02-24,Monday,DONG_THAP,812057,10381,89698,88635,70532,01721,72236,42221,92487,11614,28213,61915,2211,1356,0338,1242,554,39,65ae0aa1a587ba51,https://xoso.com.vn/xsmn-24-02-2020.html,OK
2020-03-02,Monday,DONG_THAP,776312,47410,79463,54502,93919,28232,21978,08052,87289,79163,88809,97520,8723,1547,1691,2418,966,35,eb1716e23673492f,https://xoso.com.vn/xsmn-02-03-2020.html,OK
2020-03-09,Monday,DONG_THAP,678282,98286,77354,84165,40637,38197,14689,70171,44903,09278,39678,57498,9588,4171,9893,7608,646,08,cb07f697c8a100f9,https://xoso.com.vn/xsmn-09-03-2020.html,OK
2020-03-16,Monday,DONG_THAP,806051,43290,60222,73805,73851,75276,21979,05504,66660,79195,06953,27476,0385,6490,2825,9681,386,85,082fcb668eee62a7,https://xoso.com.vn/xsmn-16-03-2020.html,OK
2020-03-23,Monday,DONG_THAP,959294,01213,92841,06152,04833,46876,28713,50003,13440,44695,41948,55523,0971,3649,4220,4388,293,03,51992ca2e6aaa015,https://xoso.com.vn/xsmn-23-03-2020.html,OK
2020-03-30,Monday,DONG_THAP,038564,50626,73238,14311,29641,97357,29909,87170,20362,03094,05063,72774,3278,1610,3887,2518,226,35,43fca521747887d6,https://xoso.com.vn/xsmn-30-03-2020.html,OK
2020-05-04,Monday,DONG_THAP,032857,98268,43640,68455,92160,74502,16674,54273,22909,62377,57962,08016,9389,1165,6602,2982,552,78,ade27c6c4c338b47,https://xoso.com.vn/xsmn-04-05-2020.html,OK
2020-05-11,Monday,DONG_THAP,480245,25960,39982,78390,59776,18029,79857,92474,10464,95698,96556,13109,3906,3285,1603,4869,351,67,b82ea5192400d02e,https://xoso.com.vn/xsmn-11-05-2020.html,OK
2020-05-18,Monday,DONG_THAP,806225,42372,83207,62885,85858,73217,58900,70418,29395,41250,90538,74840,1859,3884,2120,5302,084,72,93f15626458e744d,https://xoso.com.vn/xsmn-18-05-2020.html,OK
2020-05-25,Monday,DONG_THAP,435985,14003,85575,22806,87884,70105,36304,56206,77197,92273,49990,45653,0061,5585,3293,7205,909,87,102bbe356b9a19c1,https://xoso.com.vn/xsmn-25-05-2020.html,OK
2020-06-01,Monday,DONG_THAP,998875,21479,90214,71321,67730,86914,92214,50370,01928,47475,56711,96788,0115,4235,8130,3627,390,81,fddd206d66ac3214,https://xoso.com.vn/xsmn-01-06-2020.html,OK
2020-06-08,Monday,DONG_THAP,008148,53556,73080,10384,21768,58952,83066,99222,53563,77525,26078,27849,1857,3903,8025,7033,830,03,7a7020941860fba6,https://xoso.com.vn/xsmn-08-06-2020.html,OK
2020-06-15,Monday,DONG_THAP,520384,15796,90150,02427,80389,19335,95245,34560,02698,27170,43830,79668,3797,5366,9625,7838,362,21,bf0e2288952ae244,https://xoso.com.vn/xsmn-15-06-2020.html,OK
2020-06-22,Monday,DONG_THAP,522167,01325,38154,18298,88609,29491,16517,84058,30616,33430,54617,19286,2092,1798,7431,7747,276,63,1ae5f31eb7d2c296,https://xoso.com.vn/xsmn-22-06-2020.html,OK
