date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-04,Saturday,HAU_GIANG,532472,10817,80661,74434,31538,82914,15755,84041,88645,82664,18158,86623,8298,6967,7120,4029,533,84,07a874e2d8487959,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-11,Saturday,HAU_GIANG,184322,38901,50302,85093,66230,65608,85970,70502,72942,44107,84801,79897,3268,5625,2127,6577,930,77,dcc9f57a9228bbcc,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-18,Saturday,HAU_GIANG,716462,07835,58580,87955,47381,26467,04240,81597,46176,53150,17345,84770,0878,8985,8410,3216,060,11,ce7303037a7cc72c,https://xoso.com.vn/xsmn-18-01-2020.html,OK
2020-01-25,Saturday,HAU_GIANG,355861,14666,87459,67546,14076,38188,49905,79407,96268,87528,37764,96831,4460,5332,3501,4244,305,62,53e14139d956ad3c,https://xoso.com.vn/xsmn-25-01-2020.html,OK
2020-02-01,Saturday,HAU_GIANG,808540,92870,45928,52612,38652,51761,14738,20229,64942,73986,53997,03025,0071,9748,8799,4057,908,92,5cd811f7b80c39e4,https://xoso.com.vn/xsmn-01-02-2020.html,OK
2020-02-08,Saturday,HAU_GIANG,935804,56350,16833,57191,58535,51553,13026,51497,31781,19916,44992,49740,6157,0373,7327,5556,135,37,b80a8815755f55af,https://xoso.com.vn/xsmn-08-02-2020.html,OK
2020-02-15,Saturday,HAU_GIANG,895715,81495,89340,13537,04694,92300,72081,81144,17875,71379,19259,77757,3661,4767,8010,8845,977,05,17104ee5095fcfe2,https://xoso.com.vn/xsmn-15-02-2020.html,OK
2020-02-22,Saturday,HAU_GIANG,936904,18219,35052,30797,26526,36321,40607,53788,90092,86483,01878,90290,1009,9077,5598,5238,726,01,b7f85e2a3a2d90fd,https://xoso.com.vn/xsmn-22-02-2020.html,OK
2020-02-29,Saturday,HAU_GIANG,271998,66386,09945,93981,02248,04953,95425,45994,76283,16714,80536,73864,9762,6343,3927,1576,703,70,e4bb08ae77d3a79b,https://xoso.com.vn/xsmn-29-02-2020.html,OK
2020-03-07,Saturday,HAU_GIANG,630929,19930,01075,47005,63378,96207,44696,61743,69468,00714,29260,45357,8949,9910,2473,5672,630,30,02eeb4fef0fa0f63,https://xoso.com.vn/xsmn-07-03-2020.html,OK
2020-03-14,Saturday,HAU_GIANG,171795,51063,04110,11224,77528,12866,91655,53759,69174,15854,69441,35654,0534,1991,0730,7660,098,90,4dcefe522f0197d8,https://xoso.com.vn/xsmn-14-03-2020.html,OK
2020-03-21,Saturday,HAU_GIANG,555859,32084,45038,63354,41557,10233,73285,12976,26223,88272,24581,58775,5973,2936,2840,8957,650,61,ee53d10de80141d6,https://xoso.com.vn/xsmn-21-03-2020.html,OK
2020-03-28,Saturday,HAU_GIANG,851421,42744,05296,30223,40482,61085,20807,13065,61853,24490,03472,53450,8795,5069,9154,5565,283,79,48861abb426abeeb,https://xoso.com.vn/xsmn-28-03-2020.html,OK
2020-05-02,Saturday,HAU_GIANG,090724,71510,28309,66819,79745,71236,10163,37533,98249,64790,22898,21394,0282,3871,9185,5099,010,92,12545819c4311df5,https://xoso.com.vn/xsmn-02-05-2020.html,OK
2020-05-09,Saturday,HAU_GIANG,143843,42180,06381,60761,45726,97760,68876,18022,90915,17646,41917,25028,6514,0782,6341,9515,830,93,7d2812c2e002206c,https://xoso.com.vn/xsmn-09-05-2020.html,OK
2020-05-16,Saturday,HAU_GIANG,562668,74938,85470,20303,03682,64077,02438,98199,14782,90462,97719,87528,5475,7092,9963,4138,759,84,f6f997d95fb0f57e,https://xoso.com.vn/xsmn-16-05-2020.html,OK
2020-05-23,Saturday,HAU_GIANG,351737,01411,10735,16204,24048,94084,40197,86672,39244,36350,80293,52032,8467,7400,1268,9222,984,74,31b978d867c99431,https://xoso.com.vn/xsmn-23-05-2020.html,OK
2020-05-30,Saturday,HAU_GIANG,448245,94440,92412,06353,49012,18237,69053,38058,70245,01983,96953,74635,0910,5215,1953,2933,336,17,0f37a4d459e34019,https://xoso.com.vn/xsmn-30-05-2020.html,OK
2020-06-06,Saturday,HAU_GIANG,576455,08083,97620,29917,48065,79861,18858,60412,28725,38714,10912,91945,6025,0978,0485,7082,282,38,8c3eca9ff65fe2de,https://xoso.com.vn/xsmn-06-06-2020.html,OK
2020-06-13,Saturday,HAU_GIANG,693047,96179,54684,34286,08561,16513,66940,55042,58310,05870,26817,31444,9058,0338,8631,5798,952,71,66c0a885a4444489,https://xoso.com.vn/xsmn-13-06-2020.html,OK
2020-06-20,Saturday,HAU_GIANG,940304,42297,94329,99187,83819,51983,81386,44772,81170,46370,60464,28681,3992,2169,5325,7238,774,14,cbbcebf9c4fb0594,https://xoso.com.vn/xsmn-20-06-2020.html,OK
2020-06-27,Saturday,HAU_GIANG,507386,56779,75288,43073,79158,33082,57761,32295,00604,93795,21534,79554,8542,3712,4924,6783,605,36,1a93fea42699515e,https://xoso.com.vn/xsmn-27-06-2020.html,OK
2020-07-04,Saturday,HAU_GIANG,041602,85439,02416,62257,07917,95651,92578,13895,54480,51593,25698,25935,2350,1344,4053,8062,747,01,4b5dc7f887a2d5fb,https://xoso.com.vn/xsmn-04-07-2020.html,OK
2020-07-11,Saturday,HAU_GIANG,854874,56704,56432,19119,78064,56406,28704,84434,90620,30520,33788,94275,5115,1149,0756,6928,174,85,210ad5830249812a,https://xoso.com.vn/xsmn-11-07-2020.html,OK
2020-07-18,Saturday,HAU_GIANG,872546,63376,49186,30407,91761,78158,35409,64166,27846,49754,52714,49599,8713,8095,1358,4860,475,34,c67cab7ac985acf2,https://xoso.com.vn/xsmn-18-07-2020.html,OK
2020-07-25,Saturday,HAU_GIANG,541136,62570,57969,05155,20628,51314,87138,29125,85373,17422,70348,73812,7492,6731,4710,8156,488,12,5c108726fa0c5f55,https://xoso.com.vn/xsmn-25-07-2020.html,OK
2020-08-01,Saturday,HAU_GIANG,418922,84217,87544,87216,81879,34443,16618,73277,09756,99285,46557,17644,6352,3737,3866,9910,433,67,3dc83cf178a8bcf2,https://xoso.com.vn/xsmn-01-08-2020.html,OK
2020-08-08,Saturday,HAU_GIANG,016452,59050,55386,22493,50268,26805,13498,81190,71532,50967,55018,69788,8060,2892,2495,8213,711,69,06becb4de3b007a7,https://xoso.com.vn/xsmn-08-08-2020.html,OK
2020-08-15,Saturday,HAU_GIANG,987452,40236,81556,01026,17356,71630,43194,31279,99236,53559,48470,47400,3232,2440,8108,7547,576,54,4c6d0529c8886433,https://xoso.com.vn/xsmn-15-08-2020.html,OK
2020-08-22,Saturday,HAU_GIANG,037307,55850,37330,23515,96089,35575,60813,95331,11221,75634,03307,86174,6644,2225,7359,4455,407,57,1b06d86f2869f5d9,https://xoso.com.vn/xsmn-22-08-2020.html,OK
2020-08-29,Saturday,HAU_GIANG,495711,59430,64838,34037,61080,17535,56298,96017,11899,47080,56307,64134,4515,9639,9944,4384,623,58,6e25f3c511aca380,https://xoso.com.vn/xsmn-29-08-2020.html,OK
2020-09-05,Saturday,HAU_GIANG,403077,33983,39556,83057,52231,52998,65042,81470,71278,43054,02572,35208,2263,6131,6734,9075,821,61,ad06f4bf2bf1b632,https://xoso.com.vn/xsmn-05-09-2020.html,OK
2020-09-12,Saturday,HAU_GIANG,074741,94908,52491,89718,14246,23210,57202,13391,43551,21310,01781,08929,6946,1557,4903,4510,983,99,60199c67096c65df,https://xoso.com.vn/xsmn-12-09-2020.html,OK
2020-09-19,Saturday,HAU_GIANG,140838,77314,49032,09984,64803,55787,94593,24384,49140,46240,28459,70554,6288,4874,7404,5707,378,43,b58aa2e3be452530,https://xoso.com.vn/xsmn-19-09-2020.html,OK
2020-09-26,Saturday,HAU_GIANG,386023,13066,99709,31334,96881,64043,34576,06873,43469,97731,85050,80520,0965,3582,7710,0570,119,39,69e471695029389f,https://xoso.com.vn/xsmn-26-09-2020.html,OK
2020-10-03,Saturday,HAU_GIANG,456776,51143,53959,44668,86379,70579,27998,91612,38715,74509,50969,13395,7000,9738,4189,6049,223,05,335cfffa190d76cf,https://xoso.com.vn/xsmn-03-10-2020.html,OK
2020-10-10,Saturday,HAU_GIANG,926185,53666,19889,73893,75155,43219,70616,43110,73306,14582,93870,76209,6673,4661,7966,3611,937,49,cf96047cd987bb0a,https://xoso.com.vn/xsmn-10-10-2020.html,OK
2020-10-17,Saturday,HAU_GIANG,953080,63446,46695,94723,69852,14751,15948,53751,31988,98216,87052,53719,0037,4314,2819,4923,313,66,8c8df92aa05f0803,https://xoso.com.vn/xsmn-17-10-2020.html,OK
2020-10-24,Saturday,HAU_GIANG,696100,67334,72115,85993,44524,57815,57526,77938,67845,84839,27732,15703,9189,4112,1755,2174,872,05,ce607b7d62679da2,https://xoso.com.vn/xsmn-24-10-2020.html,OK
2020-10-31,Saturday,HAU_GIANG,411083,58066,56633,33425,71237,52228,64249,73940,02809,16841,68839,61215,2032,3889,2382,0369,480,19,bc3c4b7cbc945289,https://xoso.com.vn/xsmn-31-10-2020.html,OK
2020-11-07,Saturday,HAU_GIANG,090456,12884,67439,49333,75598,02114,14474,08211,32864,38729,86447,26862,8837,4045,0486,1669,203,80,7ab7aacf85b5e736,https://xoso.com.vn/xsmn-07-11-2020.html,OK
2020-11-14,Saturday,HAU_GIANG,499992,71926,92901,67832,34347,44240,99592,21782,52560,83982,39214,95550,5952,7988,3950,9126,865,38,0efda29ec4632521,https://xoso.com.vn/xsmn-14-11-2020.html,OK
2020-11-21,Saturday,HAU_GIANG,846977,38200,85158,12741,73195,07389,66486,05310,89282,51183,96373,77183,0307,9637,0472,4764,228,54,6a755c22f7fadb55,https://xoso.com.vn/xsmn-21-11-2020.html,OK
2020-11-28,Saturday,HAU_GIANG,868268,95672,41648,05398,11313,39190,36067,49374,12680,32697,22043,22539,5712,6275,1821,4018,793,72,2611c290db1c92dd,https://xoso.com.vn/xsmn-28-11-2020.html,OK
2020-12-05,Saturday,HAU_GIANG,885163,44224,01388,87877,05159,32725,20679,97862,34092,73340,57618,23784,4237,9933,2612,5823,360,53,e344e45fdad056ea,https://xoso.com.vn/xsmn-05-12-2020.html,OK
