date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-05,Sunday,KIEN_GIANG,772177,31324,20203,26941,21745,10657,02674,41658,93279,39113,71588,43306,7498,7532,9532,9426,376,67,5e4683c301146e22,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-12,Sunday,KIEN_GIANG,887952,65545,94524,46309,20402,54723,32578,86732,25103,59945,23953,58044,8973,8450,0582,0489,045,83,92c6a458413c742f,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-19,Sunday,KIEN_GIANG,840662,76397,62323,96914,31213,57145,97261,95072,73549,06137,71311,49285,4178,6905,4640,1101,623,81,c16885c824530f74,https://xoso.com.vn/xsmn-19-01-2020.html,OK
2020-01-26,Sunday,KIEN_GIANG,305774,91757,71384,98720,70294,36136,82225,70544,93882,54870,76221,88005,7123,5037,2232,7528,205,62,47c1cb0127c1214f,https://xoso.com.vn/xsmn-26-01-2020.html,OK
2020-02-02,Sunday,KIEN_GIANG,697962,66008,05728,72831,86083,09985,58070,37936,51847,03190,67273,27568,7688,9271,6575,3905,067,63,93184d5616de50b9,https://xoso.com.vn/xsmn-02-02-2020.html,OK
2020-02-09,Sunday,KIEN_GIANG,572641,01831,47356,62459,76211,57841,17752,09637,84037,63649,87890,02838,6014,6932,9697,7512,632,53,2285add8189c4f6d,https://xoso.com.vn/xsmn-09-02-2020.html,OK
2020-02-16,Sunday,KIEN_GIANG,087438,96536,83708,88692,46850,09984,08871,73116,36877,87019,07306,60570,5169,3089,3285,5126,862,01,7e6e77aeb0f53326,https://xoso.com.vn/xsmn-16-02-2020.html,OK
2020-02-23,Sunday,KIEN_GIANG,469174,51538,28805,34265,58721,95243,52372,54683,95573,13976,02536,44296,8919,5725,8848,9482,407,66,87b43aa2c7079032,https://xoso.com.vn/xsmn-23-02-2020.html,OK
2020-03-01,Sunday,KIEN_GIANG,747077,46433,65634,27667,84530,16519,66571,11034,86461,24463,23873,13695,2789,2444,9196,0876,251,72,2645e59583ef4d93,https://xoso.com.vn/xsmn-01-03-2020.html,OK
2020-03-08,Sunday,KIEN_GIANG,768564,74532,07982,47275,07058,68269,49370,87150,26337,17377,48775,54731,8306,0278,6134,5344,302,32,3720610411b6501e,https://xoso.com.vn/xsmn-08-03-2020.html,OK
2020-03-15,Sunday,KIEN_GIANG,406309,00846,32620,94450,48422,80503,06405,28948,51832,37030,70373,27327,0920,7024,8844,6304,361,69,2f57afd1c74aae47,https://xoso.com.vn/xsmn-15-03-2020.html,OK
2020-03-22,Sunday,KIEN_GIANG,741720,83191,96951,63821,78818,07618,30350,69701,30888,28923,53505,82617,2086,3456,0102,1667,561,93,b6cfb3139adca108,https://xoso.com.vn/xsmn-22-03-2020.html,OK
2020-03-29,Sunday,KIEN_GIANG,792634,25354,32133,66378,97302,95788,80003,07239,28867,40100,06585,25378,6468,6470,4052,8004,956,90,9fe63aec66514042,https://xoso.com.vn/xsmn-29-03-2020.html,OK
2020-05-03,Sunday,KIEN_GIANG,594533,93387,10597,35429,84872,87295,23152,85705,39383,13572,32530,75506,1471,0648,4093,6457,016,77,a05dbeb52f5c16ad,https://xoso.com.vn/xsmn-03-05-2020.html,OK
2020-05-10,Sunday,KIEN_GIANG,927346,43345,86174,22640,29605,51948,35359,42409,57380,44056,87455,10336,4421,0605,3171,1578,269,08,b80cd6245f5cd39b,https://xoso.com.vn/xsmn-10-05-2020.html,OK
