date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-04,Saturday,LONG_AN,085563,25158,87394,14712,05110,80646,15806,58392,72515,03123,27783,76112,6240,2943,3958,2873,436,08,46c417590d398a31,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-11,Saturday,LONG_AN,686629,34860,14988,13645,81697,30699,28556,72726,06518,75067,36623,40118,8709,2039,5674,1083,617,32,911dbb93310c7eaf,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-18,Saturday,LONG_AN,087496,93809,61889,48555,41156,50103,80835,26855,34199,62313,58440,33546,8016,4100,2070,6250,139,19,46b958aa7537e140,https://xoso.com.vn/xsmn-18-01-2020.html,OK
2020-01-25,Saturday,LONG_AN,164847,17730,93966,20155,13322,24168,74214,94584,34195,85513,92054,50552,2856,1163,3247,2303,197,55,deb96e17517252da,https://xoso.com.vn/xsmn-25-01-2020.html,OK
2020-02-01,Saturday,LONG_AN,237726,52812,96120,89702,61551,10830,87046,06933,46019,53645,06754,36438,4575,6943,8421,1636,321,72,f5b18ad0fa30db39,https://xoso.com.vn/xsmn-01-02-2020.html,OK
2020-02-08,Saturday,LONG_AN,831205,00719,50231,48762,57983,33151,14793,23017,42527,56793,30838,16029,0957,9280,8122,2955,663,20,4e1b3fade462a750,https://xoso.com.vn/xsmn-08-02-2020.html,OK
2020-02-15,Saturday,LONG_AN,410659,66519,67672,77076,63404,67379,03042,86759,81969,75381,37922,35693,2865,0410,5901,1321,318,85,55591d4ccdb94b6d,https://xoso.com.vn/xsmn-15-02-2020.html,OK
2020-02-22,Saturday,LONG_AN,651282,13480,18760,34710,98202,42797,92454,73189,80272,67631,39269,34224,9987,6257,3001,3784,703,20,ded6ee0a9d024a7a,https://xoso.com.vn/xsmn-22-02-2020.html,OK
2020-02-29,Saturday,LONG_AN,339274,87477,17398,04977,89160,86699,57253,12828,58814,30929,39734,19663,9819,1540,0978,5129,155,54,ba9cb8103ce87332,https://xoso.com.vn/xsmn-29-02-2020.html,OK
2020-03-07,Saturday,LONG_AN,939074,78895,04580,04680,38961,02283,06006,22716,07016,93655,13047,07394,0049,6985,7611,2143,224,15,14dd9cb9f6fb7f81,https://xoso.com.vn/xsmn-07-03-2020.html,OK
2020-03-14,Saturday,LONG_AN,175139,37038,90073,70250,62101,60811,86591,81757,41349,38221,19824,17839,9385,7606,0546,5369,217,55,f90b6f7cf876d57a,https://xoso.com.vn/xsmn-14-03-2020.html,OK
2020-03-21,Saturday,LONG_AN,584482,75862,48416,25373,35185,49527,46571,33153,40995,48743,64763,15839,5976,7434,2105,0169,320,69,c3c9e0e365c9a66d,https://xoso.com.vn/xsmn-21-03-2020.html,OK
