date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-01,Wednesday,SOC_TRANG,066758,24155,57135,72390,25842,13102,08938,93611,09951,92092,42130,39137,5847,0746,6564,3305,470,85,bd102cbab83f7d6c,https://xoso.com.vn/xsmn-01-01-2020.html,OK
2020-01-08,Wednesday,SOC_TRANG,345092,81275,57886,40247,63443,05369,43368,56129,05540,41969,24739,01446,7504,6439,6577,9088,961,82,f0ed1f614a10950c,https://xoso.com.vn/xsmn-08-01-2020.html,OK
2020-01-15,Wednesday,SOC_TRANG,622712,00904,49299,85401,94502,45869,55044,22914,07387,64055,30274,47964,9729,1507,1300,8971,389,65,d069e4884ff8188d,https://xoso.com.vn/xsmn-15-01-2020.html,OK
2020-01-22,Wednesday,SOC_TRANG,502669,56202,70857,60635,99164,12932,52747,75628,79569,69729,08770,86992,8796,7996,8936,5373,937,23,3b13fa46b5ae7c97,https://xoso.com.vn/xsmn-22-01-2020.html,OK
2020-01-29,Wednesday,SOC_TRANG,865547,51491,56688,62522,80096,93844,84666,10812,08805,96656,54240,46078,7304,6628,9450,0747,443,64,51732eafa4fb06e2,https://xoso.com.vn/xsmn-29-01-2020.html,OK
2020-02-05,Wednesday,SOC_TRANG,360834,06593,73100,95737,00567,33501,89613,68512,49367,39770,01447,71795,6926,2775,4297,0225,829,50,ac49f69ffa63a3d7,https://xoso.com.vn/xsmn-05-02-2020.html,OK
2020-02-12,Wednesday,SOC_TRANG,140942,45161,12769,83870,90608,54341,76182,03440,27057,22242,01403,17477,1990,6417,7065,4740,108,23,9a4242c9db1226bb,https://xoso.com.vn/xsmn-12-02-2020.html,OK
2020-02-19,Wednesday,SOC_TRANG,409161,56301,79676,45556,13169,02151,35203,62891,89688,07927,24639,03187,8377,0296,6349,3852,306,92,87c03e46a2004122,https://xoso.com.vn/xsmn-19-02-2020.html,OK
2020-02-26,Wednesday,SOC_TRANG,115338,22112,49605,41504,68456,93792,67249,21687,46364,51847,30546,14903,5654,7066,1138,5102,763,32,73c3ca3a1070ff2e,https://xoso.com.vn/xsmn-26-02-2020.html,OK
2020-03-04,Wednesday,SOC_TRANG,642445,53718,42208,97145,97360,63443,68657,50274,11889,38934,96186,65187,6897,5888,6874,8505,251,70,fe087afb5db9899b,https://xoso.com.vn/xsmn-04-03-2020.html,OK
2020-03-11,Wednesday,SOC_TRANG,080617,72164,36504,56381,21263,24139,35933,19600,53148,09538,16000,78040,1458,2516,0393,3653,142,44,73efe33946f46ad5,https://xoso.com.vn/xsmn-11-03-2020.html,OK
2020-03-18,Wednesday,SOC_TRANG,455086,84851,88989,63113,09865,45029,16218,72442,96633,53106,30686,85640,3967,0662,0674,3409,320,67,cbffd788dd4204a3,https://xoso.com.vn/xsmn-18-03-2020.html,OK
2020-03-25,Wednesday,SOC_TRANG,200347,91091,35626,34320,45145,57871,59230,54570,20784,73286,78352,86029,3198,2447,9558,6756,915,50,78e609739b9e96af,https://xoso.com.vn/xsmn-25-03-2020.html,OK
2020-04-29,Wednesday,SOC_TRANG,775118,01973,34174,31515,47260,37896,86256,00836,07552,46392,84665,43097,9950,9222,6060,0451,627,94,4c00cc742e2a4022,https://xoso.com.vn/xsmn-29-04-2020.html,OK
2020-05-06,Wednesday,SOC_TRANG,864619,82863,21302,10855,32054,65680,00144,63249,27035,53243,40111,76269,6234,5621,5237,7522,600,22,2c31a74827545b57,https://xoso.com.vn/xsmn-06-05-2020.html,OK
2020-05-13,Wednesday,SOC_TRANG,223329,75192,79453,16338,00045,77682,62356,60292,79444,84881,40904,83910,2818,5566,2264,0494,304,57,7a576a0b7d3dc37e,https://xoso.com.vn/xsmn-13-05-2020.html,OK
2020-05-20,Wednesday,SOC_TRANG,463945,30330,35876,39206,90605,41353,76835,64557,25616,46917,06543,02374,7849,4679,0854,5527,558,92,2d062cfe72198c24,https://xoso.com.vn/xsmn-20-05-2020.html,OK
2020-05-27,Wednesday,SOC_TRANG,874919,01947,42206,93064,49235,88900,93431,87292,37119,17151,40855,59410,7046,2765,2131,8756,981,11,b6d2b57ff7592be2,https://xoso.com.vn/xsmn-27-05-2020.html,OK
2020-06-03,Wednesday,SOC_TRANG,090838,52582,07654,85190,41840,93371,98099,86299,24176,39373,79785,15234,0162,9938,4240,6841,055,19,8d5b6e17474417c8,https://xoso.com.vn/xsmn-03-06-2020.html,OK
2020-06-10,Wednesday,SOC_TRANG,960330,73507,65549,10104,24177,11058,42940,16395,87956,94321,46370,41774,0745,1908,3460,7461,504,71,c42fd731a6cfbd8e,https://xoso.com.vn/xsmn-10-06-2020.html,OK
2020-06-17,Wednesday,SOC_TRANG,979294,84003,92578,86936,51606,89617,87115,32937,07767,29572,01875,76286,1611,2356,2980,8051,091,91,b61909b88e828ae2,https://xoso.com.vn/xsmn-17-06-2020.html,OK
2020-06-24,Wednesday,SOC_TRANG,257300,20810,05831,95223,26085,55931,66154,00491,41566,92514,50918,32125,8747,9008,0545,1332,029,02,d1abe50eb8e4c8eb,https://xoso.com.vn/xsmn-24-06-2020.html,OK
2020-07-01,Wednesday,SOC_TRANG,395233,53348,00700,83865,73529,73389,98968,15822,31723,06951,07060,89694,3727,5842,0998,8879,304,89,078de40fc87bbd7b,https://xoso.com.vn/xsmn-01-07-2020.html,OK
2020-07-08,Wednesday,SOC_TRANG,635574,63681,63297,31201,44350,31524,38493,30307,51443,25756,14588,99390,2396,8699,7605,6841,276,90,fa4cbbca968febeb,https://xoso.com.vn/xsmn-08-07-2020.html,OK
2020-07-15,Wednesday,SOC_TRANG,047132,72004,46710,97586,66135,76982,75173,33686,38046,35258,07964,49958,1496,1824,0994,1635,261,56,e67caab7a80e1a89,https://xoso.com.vn/xsmn-15-07-2020.html,OK
2020-07-22,Wednesday,SOC_TRANG,186935,30566,97239,66760,75938,25939,83898,94241,54935,11864,20788,71462,0723,9687,5716,2409,723,01,ebe9cd14808a6bb4,https://xoso.com.vn/xsmn-22-07-2020.html,OK
2020-07-29,Wednesday,SOC_TRANG,649042,61046,00879,90511,53286,87640,91455,49910,29350,73838,77841,26376,1192,0585,1910,5971,199,60,287aad2cd0ec27a0,https://xoso.com.vn/xsmn-29-07-2020.html,OK
2020-08-05,Wednesday,SOC_TRANG,357418,81480,95168,89219,04267,94623,72657,77783,31761,14476,22520,04539,3504,9549,6414,1062,750,15,27150ef44a895e61,https://xoso.com.vn/xsmn-05-08-2020.html,OK
2020-08-12,Wednesday,SOC_TRANG,598621,77183,76952,57572,03959,86859,88651,53994,66845,05967,66242,79287,0528,9010,3425,2843,298,21,698b908628b05bef,https://xoso.com.vn/xsmn-12-08-2020.html,OK
2020-08-19,Wednesday,SOC_TRANG,966538,25081,68408,72646,35071,53057,88073,25051,91737,60896,29159,84416,6007,0640,8159,2837,754,39,01974c8ddc194c65,https://xoso.com.vn/xsmn-19-08-2020.html,OK
2020-08-26,Wednesday,SOC_TRANG,940523,35810,98190,60663,28694,92501,19914,14789,24283,24473,08834,20061,6955,1767,7363,5757,731,43,314bb120d2e5f62c,https://xoso.com.vn/xsmn-26-08-2020.html,OK
2020-09-02,Wednesday,SOC_TRANG,834579,01407,50722,73769,55562,23002,14816,49065,48316,55410,46479,27660,0594,6882,7586,7260,744,73,dcf0f4bfb4ac5bc1,https://xoso.com.vn/xsmn-02-09-2020.html,OK
2020-09-09,Wednesday,SOC_TRANG,564083,98126,18808,07329,43603,37014,22371,15885,11088,44625,87269,21959,4953,3187,4485,1115,124,85,db892efdaa303fcd,https://xoso.com.vn/xsmn-09-09-2020.html,OK
2020-09-16,Wednesday,SOC_TRANG,859279,08779,98036,36037,44885,10226,37581,72462,39374,39357,93709,68275,1088,3463,7294,2549,200,53,9f0cf22f72063377,https://xoso.com.vn/xsmn-16-09-2020.html,OK
2020-09-23,Wednesday,SOC_TRANG,314952,07000,14716,25746,38803,41463,01754,42537,67227,72122,24235,37953,6219,1155,3554,2347,591,32,e59f777ac67a2516,https://xoso.com.vn/xsmn-23-09-2020.html,OK
2020-09-30,Wednesday,SOC_TRANG,203151,16725,94901,13737,56245,96041,69113,99748,26698,88359,97426,31248,1735,1197,1152,9861,308,19,49c06a183fead1b3,https://xoso.com.vn/xsmn-30-09-2020.html,OK
2020-10-07,Wednesday,SOC_TRANG,970009,73433,27264,68510,78485,93754,35826,32644,99802,45818,92018,53348,8366,8226,6841,4845,144,93,07d19e643e650e07,https://xoso.com.vn/xsmn-07-10-2020.html,OK
2020-10-14,Wednesday,SOC_TRANG,058054,08768,24779,81120,18260,77454,32732,80029,34243,93936,56145,44310,9142,7748,0963,9327,142,46,731b4897089af968,https://xoso.com.vn/xsmn-14-10-2020.html,OK
2020-10-21,Wednesday,SOC_TRANG,710023,51004,60397,45647,39070,20183,22307,90285,95657,83948,94197,58142,5189,7734,2010,7600,412,03,9695f7ef0e0d5f0e,https://xoso.com.vn/xsmn-21-10-2020.html,OK
2020-10-28,Wednesday,SOC_TRANG,972537,99536,61118,00320,45227,03397,75667,45575,32525,50980,84986,01763,1265,7046,9068,1311,990,07,2008d4560a5564cb,https://xoso.com.vn/xsmn-28-10-2020.html,OK
