date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-02,Thursday,TAY_NINH,967758,88805,36253,24034,09786,69364,89046,86092,18058,91985,65107,40840,0250,5701,1187,2657,127,70,f5914f749193f0c0,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-09,Thursday,TAY_NINH,318706,16965,31640,68368,44822,49794,98017,92429,04227,99425,81332,96316,1166,4072,5194,3304,548,38,055ac54d47d69e74,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-16,Thursday,TAY_NINH,441481,70360,85216,47084,86048,97264,59423,23748,02618,28601,79915,89763,8193,9950,9434,4789,979,15,9862c651758fabb9,https://xoso.com.vn/xsmn-16-01-2020.html,OK
2020-01-23,Thursday,TAY_NINH,297377,86266,59390,93951,47762,50877,98123,15597,17970,60325,50541,49261,4781,0110,4679,0893,315,21,4007f3219012f720,https://xoso.com.vn/xsmn-23-01-2020.html,OK
2020-01-30,Thursday,TAY_NINH,275350,66479,13034,80253,71353,71278,02388,66599,62108,06825,87750,93576,4607,9227,5296,9001,430,62,b262567e25cf2eaf,https://xoso.com.vn/xsmn-30-01-2020.html,OK
2020-02-06,Thursday,TAY_NINH,857911,60490,73911,20397,35566,00574,80984,86845,64783,82443,50594,44624,8358,6293,8806,2678,954,11,3444b5408ebd4eb2,https://xoso.com.vn/xsmn-06-02-2020.html,OK
2020-02-13,Thursday,TAY_NINH,392121,43313,37170,19841,83025,09355,06749,50922,20343,56703,63752,03546,7797,6784,1613,1415,119,16,dd2344f6cd9234b6,https://xoso.com.vn/xsmn-13-02-2020.html,OK
2020-02-20,Thursday,TAY_NINH,709658,62064,88421,27209,40229,03097,20526,00122,37284,80821,93181,19379,6172,6130,8904,4061,999,84,7d23d4ecdba47fe0,https://xoso.com.vn/xsmn-20-02-2020.html,OK
2020-02-27,Thursday,TAY_NINH,163106,99189,34455,79014,60746,74608,56448,10045,14262,34718,21139,42476,5111,9613,5880,8200,418,13,4a27514bdd8007ae,https://xoso.com.vn/xsmn-27-02-2020.html,OK
2020-03-05,Thursday,TAY_NINH,888846,69484,98976,54557,43691,24730,77708,85457,61607,71631,59271,18953,2618,5950,0197,8454,062,53,7e14bda6c71e36ea,https://xoso.com.vn/xsmn-05-03-2020.html,OK
2020-03-12,Thursday,TAY_NINH,444253,64654,87874,65553,84400,37895,27209,17671,59325,60817,48615,00887,8787,9319,8132,7732,754,92,d27fd33cde786bca,https://xoso.com.vn/xsmn-12-03-2020.html,OK
2020-03-19,Thursday,TAY_NINH,819735,86679,98163,83295,15629,80794,22576,43452,23287,18713,83579,24679,3251,0877,4582,0197,321,67,5178808c273c36dd,https://xoso.com.vn/xsmn-19-03-2020.html,OK
2020-03-26,Thursday,TAY_NINH,213852,06614,50441,73293,57363,83950,30781,53169,61798,56741,42877,48123,4536,2500,2972,1961,205,00,4a817626040425d0,https://xoso.com.vn/xsmn-26-03-2020.html,OK
2020-04-30,Thursday,TAY_NINH,286308,57510,51319,46072,13093,40653,08689,55856,55649,55179,96869,85600,5401,0572,5070,0136,030,60,1076d88531441c6a,https://xoso.com.vn/xsmn-30-04-2020.html,OK
2020-05-07,Thursday,TAY_NINH,248057,96967,30807,95068,65392,62728,83470,95865,69676,42465,95065,95395,2444,8402,7065,7954,514,82,acbde864ed6128dd,https://xoso.com.vn/xsmn-07-05-2020.html,OK
2020-05-14,Thursday,TAY_NINH,715676,70156,96872,56221,68697,88336,99970,16323,51318,55672,05542,52862,6266,2269,0924,9222,462,76,f04436cb11138cdf,https://xoso.com.vn/xsmn-14-05-2020.html,OK
2020-05-21,Thursday,TAY_NINH,759236,56118,51128,24946,05508,70876,48756,45928,47604,24650,80525,70669,1173,5290,2150,7227,483,36,45f6cb0544020fe3,https://xoso.com.vn/xsmn-21-05-2020.html,OK
2020-05-28,Thursday,TAY_NINH,646825,15528,79401,50431,68546,31434,17859,01171,64662,45319,53516,31437,0668,4499,2503,3662,150,16,fa3fa6f6e0781db8,https://xoso.com.vn/xsmn-28-05-2020.html,OK
2020-06-04,Thursday,TAY_NINH,033689,33019,70456,26255,73961,39512,21810,29022,10218,18623,77776,91795,9325,2876,7357,0586,338,92,dfc3af1433bb746e,https://xoso.com.vn/xsmn-04-06-2020.html,OK
2020-06-11,Thursday,TAY_NINH,664088,24873,46872,02040,35816,69704,43120,52253,84651,22615,83035,78956,5502,5857,5290,1866,123,06,d64c4d4f270d9448,https://xoso.com.vn/xsmn-11-06-2020.html,OK
2020-06-18,Thursday,TAY_NINH,700440,09300,43924,19675,69070,27520,08560,72387,16340,29069,89102,58021,7358,1753,2276,2377,245,26,011db798c042157c,https://xoso.com.vn/xsmn-18-06-2020.html,OK
2020-06-25,Thursday,TAY_NINH,111679,34587,03962,81214,59520,51663,24876,74617,25141,35944,85475,50538,6978,8480,3560,8781,083,68,5e2591ea3a88e339,https://xoso.com.vn/xsmn-25-06-2020.html,OK
2020-07-02,Thursday,TAY_NINH,687914,16973,21483,09440,21378,38534,90440,23904,15316,04095,43238,87380,3535,9759,9872,4703,000,72,c3599efb983446a3,https://xoso.com.vn/xsmn-02-07-2020.html,OK
2020-07-09,Thursday,TAY_NINH,980735,39097,71707,86731,11374,35538,58315,63156,15637,20149,60744,82549,0080,6507,6994,7261,784,10,ae8adfa1a6da344f,https://xoso.com.vn/xsmn-09-07-2020.html,OK
2020-07-16,Thursday,TAY_NINH,030555,47093,93540,00356,56998,27705,97565,29595,48619,42291,34315,53093,6317,2602,7218,1225,780,64,a54de0415b36b5c2,https://xoso.com.vn/xsmn-16-07-2020.html,OK
2020-07-23,Thursday,TAY_NINH,663235,97224,43722,16597,81988,31097,32887,84559,03363,86980,15717,36899,0491,6109,9812,7667,179,29,2bf1ec2c1c2008ef,https://xoso.com.vn/xsmn-23-07-2020.html,OK
2020-07-30,Thursday,TAY_NINH,964267,12404,63338,26827,85826,39172,72987,62737,39379,47760,55782,46610,6622,8468,4623,0784,357,30,382151941692a7f9,https://xoso.com.vn/xsmn-30-07-2020.html,OK
2020-08-06,Thursday,TAY_NINH,376637,81882,18188,46224,93837,41124,16411,64620,30561,18631,08398,75691,7797,3276,1459,8104,127,94,30248bb6354a92ed,https://xoso.com.vn/xsmn-06-08-2020.html,OK
2020-08-13,Thursday,TAY_NINH,194034,65034,28876,14731,17083,06638,18515,07995,71910,34896,16780,86677,6745,2226,7174,5366,486,08,75a86c63e02caf8c,https://xoso.com.vn/xsmn-13-08-2020.html,OK
2020-08-20,Thursday,TAY_NINH,430961,25132,14941,49943,60971,84552,35419,69317,46251,19333,43698,13561,4738,7240,4620,5268,460,04,ec67b50440667c46,https://xoso.com.vn/xsmn-20-08-2020.html,OK
2020-08-27,Thursday,TAY_NINH,807743,71659,35737,61087,73969,39075,01700,64207,01323,36931,81126,46079,4861,1199,3504,5741,717,09,6a4e184cfc2d4ef9,https://xoso.com.vn/xsmn-27-08-2020.html,OK
2020-09-03,Thursday,TAY_NINH,900354,42061,69408,36682,62914,78110,32410,65838,96242,14617,84713,55322,7994,6479,8874,4813,289,65,1215107b5416ec34,https://xoso.com.vn/xsmn-03-09-2020.html,OK
2020-09-10,Thursday,TAY_NINH,635728,46129,99077,92130,29038,30883,76860,69349,02546,04295,42057,29254,5114,6341,6767,9893,048,08,6d81beed73348e7a,https://xoso.com.vn/xsmn-10-09-2020.html,OK
2020-09-17,Thursday,TAY_NINH,508433,33590,43908,05308,92983,30304,39370,69555,77500,27330,66779,62032,0921,5060,3829,6906,116,18,b6609cb140629179,https://xoso.com.vn/xsmn-17-09-2020.html,OK
2020-09-24,Thursday,TAY_NINH,438912,55687,97020,43408,21975,28047,43808,17900,82473,08025,35825,51758,1293,5313,4486,0491,940,58,35cc11160e4e55dc,https://xoso.com.vn/xsmn-24-09-2020.html,OK
2020-10-01,Thursday,TAY_NINH,000757,13545,74580,66233,45338,91615,62511,01490,99860,57238,75496,76617,6876,7296,1247,6064,600,96,a60549310368d1b7,https://xoso.com.vn/xsmn-01-10-2020.html,OK
2020-10-08,Thursday,TAY_NINH,453006,44827,69160,11307,33588,74285,69187,91133,66756,57394,70103,49442,5076,4314,3304,6799,706,63,9fff2e49c51ccab6,https://xoso.com.vn/xsmn-08-10-2020.html,OK
