date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-05,Sunday,TIEN_GIANG,507554,90759,13174,78578,69902,23122,83532,62210,47064,38482,58017,90735,7034,1640,3927,6784,859,14,7be005a140ad4fea,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-12,Sunday,TIEN_GIANG,171328,92471,26391,03119,61929,42449,17565,36588,95222,97711,64737,00751,2197,7513,2989,2132,707,39,ffb054612333fcd8,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-19,Sunday,TIEN_GIANG,213779,90838,84077,11006,84715,38085,44782,87529,99621,12321,94576,84259,2278,3097,2686,4056,581,72,4e914dde266aea00,https://xoso.com.vn/xsmn-19-01-2020.html,OK
2020-01-26,Sunday,TIEN_GIANG,039590,99061,52119,01645,52321,37461,68335,94457,24150,11622,79740,82783,2009,6954,1468,0809,085,75,6ed67714ac8409f5,https://xoso.com.vn/xsmn-26-01-2020.html,OK
2020-02-02,Sunday,TIEN_GIANG,966571,87428,00095,93444,41110,18483,92528,99141,27760,84716,41387,79194,5958,3332,3215,2449,271,25,039f58592b4a68a5,https://xoso.com.vn/xsmn-02-02-2020.html,OK
2020-02-09,Sunday,TIEN_GIANG,741078,30754,50588,67662,39854,84765,77986,79721,82539,12624,01935,25392,0896,2415,3471,4788,885,29,68ec666f0567d059,https://xoso.com.vn/xsmn-09-02-2020.html,OK
2020-02-16,Sunday,TIEN_GIANG,504311,56438,81467,89110,84760,66411,39464,45370,40822,54733,83557,09004,6077,0499,2076,1357,351,31,cffbead6c9ab4d4b,https://xoso.com.vn/xsmn-16-02-2020.html,OK
2020-02-23,Sunday,TIEN_GIANG,115934,59268,19235,72968,63118,54108,41557,46523,90453,31319,55018,48846,2912,5048,2356,2076,926,97,1bc106c5802b0de5,https://xoso.com.vn/xsmn-23-02-2020.html,OK
2020-03-01,Sunday,TIEN_GIANG,508839,40744,59074,09796,07925,90849,01178,61488,01362,09194,35175,10209,1911,5709,8570,7956,621,46,5cb449a4138769df,https://xoso.com.vn/xsmn-01-03-2020.html,OK
2020-03-08,Sunday,TIEN_GIANG,824764,32280,78200,41517,11655,05522,82926,66175,46612,10271,25318,01477,5371,0875,2664,8850,632,08,1a8776683a11059e,https://xoso.com.vn/xsmn-08-03-2020.html,OK
2020-03-15,Sunday,TIEN_GIANG,314656,48974,42378,16358,98758,96686,76874,99134,71121,09913,00941,58043,0752,1245,4039,6381,666,56,cd7dfbecf1ee2a15,https://xoso.com.vn/xsmn-15-03-2020.html,OK
2020-03-22,Sunday,TIEN_GIANG,006288,10544,95172,50534,52048,65687,80879,38546,16959,02503,17573,88061,1131,0987,3024,6249,467,99,c84033bb26b9f101,https://xoso.com.vn/xsmn-22-03-2020.html,OK
2020-03-29,Sunday,TIEN_GIANG,916813,65703,23922,14448,13052,21941,74703,12002,06845,06858,65260,65154,5204,5249,1977,2385,097,02,41d7a0b80cd16e37,https://xoso.com.vn/xsmn-29-03-2020.html,OK
