date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-04,Saturday,TPHCM,830331,22175,00454,28341,88788,53970,01756,92440,12645,43836,23845,53258,1835,4450,9600,2537,626,10,7bfc077e5ecc16d1,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-06,Monday,TPHCM,418470,83056,06177,43694,25686,44172,51863,10390,63423,98357,64711,32659,2209,7561,0715,1460,738,14,0ddc8823639b15fe,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-11,Saturday,TPHCM,982705,41714,80839,91968,15748,21724,51850,41392,99727,50874,66726,38113,6505,9038,1939,1609,740,84,1eb124a97707c80f,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-13,Monday,TPHCM,695662,39292,00585,69816,62962,92357,78499,95280,56705,31258,60987,90686,9441,3144,2011,8465,748,88,715165439fea0236,https://xoso.com.vn/xsmn-13-01-2020.html,OK
2020-01-18,Saturday,TPHCM,084653,17468,40043,48968,51661,45358,49864,34732,66669,26782,94598,07560,6555,2208,0145,3828,894,59,e457e97a2301e5c7,https://xoso.com.vn/xsmn-18-01-2020.html,OK
2020-01-20,Monday,TPHCM,285333,37231,33209,80703,20258,82969,67303,14776,18120,55063,98823,19425,5099,0533,9258,7453,980,28,c11ff52c7cf32c02,https://xoso.com.vn/xsmn-20-01-2020.html,OK
2020-01-25,Saturday,TPHCM,049989,41334,11277,73534,64628,70818,22693,87651,93340,12713,25409,57359,6432,7993,5269,0663,315,32,60628498add9c61a,https://xoso.com.vn/xsmn-25-01-2020.html,OK
2020-01-27,Monday,TPHCM,180309,12204,66438,09112,41393,08933,72134,15665,96966,21116,02109,31888,4580,8770,5573,1150,394,85,c2612f8b3ef84ca7,https://xoso.com.vn/xsmn-27-01-2020.html,OK
2020-02-01,Saturday,TPHCM,959823,01014,58840,45847,52765,17076,29605,85131,51827,78092,54184,44435,1860,4878,8599,5608,723,57,03b1f40299d7ead9,https://xoso.com.vn/xsmn-01-02-2020.html,OK
2020-02-03,Monday,TPHCM,511050,53454,11077,61940,04817,04822,27312,56263,37482,23876,19155,12032,0515,0049,0812,1172,977,71,0f6c905d18e5c3bb,https://xoso.com.vn/xsmn-03-02-2020.html,OK
