date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-03,Friday,TRA_VINH,582167,42362,35754,40598,69241,65125,53775,82740,63458,13837,38622,43874,6803,3645,3885,5120,901,68,fc84b6ada3ee460f,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-10,Friday,TRA_VINH,140730,08307,83139,26379,59108,68577,81119,39657,46982,67670,05802,12966,7235,3584,2138,8598,860,47,59eaed9cbfb7f5aa,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-17,Friday,TRA_VINH,830065,91785,70030,76734,07061,18157,31543,14586,06417,51467,38923,70531,5870,1746,0362,3721,904,60,ab73da4c57189b32,https://xoso.com.vn/xsmn-17-01-2020.html,OK
2020-01-24,Friday,TRA_VINH,586971,41353,60133,09028,76644,60325,27604,31320,97761,47977,79504,16831,2905,9861,0845,9921,826,86,3e75244883da862b,https://xoso.com.vn/xsmn-24-01-2020.html,OK
2020-01-31,Friday,TRA_VINH,213336,03133,37369,80378,22533,81581,04572,83895,49766,07352,94379,17009,4722,7177,7887,5117,333,30,b299971f20648f4b,https://xoso.com.vn/xsmn-31-01-2020.html,OK
2020-02-07,Friday,TRA_VINH,221227,14211,36479,11665,91616,43129,43678,00945,20524,92816,84027,16606,1325,4378,6194,5527,181,70,b69432535fabbbcd,https://xoso.com.vn/xsmn-07-02-2020.html,OK
2020-02-14,Friday,TRA_VINH,391151,74364,93482,92815,90313,23707,68741,45512,40699,92146,97172,40125,7863,6294,2747,8925,643,08,559b3c1e35763ebe,https://xoso.com.vn/xsmn-14-02-2020.html,OK
2020-02-21,Friday,TRA_VINH,976073,50742,13427,38526,50864,74114,92824,60843,13730,93946,50288,39216,7717,4831,5598,1899,037,74,83eae7271a15b422,https://xoso.com.vn/xsmn-21-02-2020.html,OK
2020-02-28,Friday,TRA_VINH,606590,80686,87538,17750,12610,83999,06674,59228,26759,88795,24006,58138,4254,4181,4798,9862,507,18,807f0199388e0de4,https://xoso.com.vn/xsmn-28-02-2020.html,OK
2020-03-06,Friday,TRA_VINH,118268,21497,38602,21855,03584,49357,55647,09096,94475,21407,48555,34531,2231,0183,6384,5708,726,49,836bcc5232efc3b5,https://xoso.com.vn/xsmn-06-03-2020.html,OK
2020-03-13,Friday,TRA_VINH,438648,83703,68058,52019,31730,87950,25791,34102,83509,61596,25848,30977,2532,0879,8677,9861,885,88,1f7f6b33052c37ea,https://xoso.com.vn/xsmn-13-03-2020.html,OK
2020-03-20,Friday,TRA_VINH,230658,84327,17385,81776,45771,05456,31676,42652,16936,37248,53883,04655,5544,9384,0076,6360,554,82,3714cbc53af25b71,https://xoso.com.vn/xsmn-20-03-2020.html,OK
2020-03-27,Friday,TRA_VINH,253409,86703,02424,65405,72235,75299,87924,31161,18211,11633,66642,83919,6095,0076,6726,1338,477,05,bc9c623703479e07,https://xoso.com.vn/xsmn-27-03-2020.html,OK
2020-05-01,Friday,TRA_VINH,525502,66135,33227,38822,83008,10537,30906,57077,10860,26699,20607,51252,6850,0537,8741,5127,900,62,70a7c194528d8ed7,https://xoso.com.vn/xsmn-01-05-2020.html,OK
2020-05-08,Friday,TRA_VINH,871869,56803,56658,81507,78093,90418,97796,46349,08646,35107,35914,93123,8995,5464,3748,4171,840,63,7b1d5dc801edba4d,https://xoso.com.vn/xsmn-08-05-2020.html,OK
2020-05-15,Friday,TRA_VINH,350758,74883,70959,44481,69927,51917,82103,23423,86143,32390,56833,99387,7730,9589,1834,1692,748,86,809d78a0104bdc16,https://xoso.com.vn/xsmn-15-05-2020.html,OK
2020-05-22,Friday,TRA_VINH,216899,01899,79589,89775,34932,64625,36279,22784,86243,50493,53342,25130,4514,1110,3017,4858,502,16,77c650f00cf301c4,https://xoso.com.vn/xsmn-22-05-2020.html,OK
2020-05-29,Friday,TRA_VINH,160316,81816,59733,24165,94153,97217,17920,70767,67778,78586,27112,56740,9623,6312,9540,6998,097,34,c8108df8d91f0a7b,https://xoso.com.vn/xsmn-29-05-2020.html,OK
