date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-03,Friday,VINH_LONG,185972,15933,15698,04343,42353,22342,49776,00116,51642,23297,26239,17600,2385,2660,3122,1265,048,03,85dba5f9ebbde755,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-10,Friday,VINH_LONG,902356,34029,14083,48163,29186,19280,95424,37952,12601,86677,39213,95451,0291,9628,9290,7166,998,85,da75e149b0640b82,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-17,Friday,VINH_LONG,684564,62104,06078,72707,23413,27403,70527,46898,08541,42401,69274,61800,3282,2715,9363,4998,175,24,63503a03ebe7d074,https://xoso.com.vn/xsmn-17-01-2020.html,OK
2020-01-24,Friday,VINH_LONG,721258,60866,60831,50819,30794,76614,15542,27130,92587,97532,07596,83298,0780,7804,9246,2451,716,93,2aee276596acf2fd,https://xoso.com.vn/xsmn-24-01-2020.html,OK
2020-01-31,Friday,VINH_LONG,989950,60784,74609,46345,82180,78770,13380,17346,52217,97274,05521,06843,8699,5251,1372,3121,153,61,1dd98fed7ac06fe7,https://xoso.com.vn/xsmn-31-01-2020.html,OK
2020-02-07,Friday,VINH_LONG,371296,29131,90121,96631,02811,36041,58715,76680,22850,77809,62272,28449,2814,9025,9566,3447,081,08,e9e0bb9e59ff6335,https://xoso.com.vn/xsmn-07-02-2020.html,OK
2020-02-14,Friday,VINH_LONG,993867,31714,91956,50959,40865,34347,33830,19355,99124,85186,87674,51913,3847,6804,8856,2486,040,03,8283d807ed42e85d,https://xoso.com.vn/xsmn-14-02-2020.html,OK
2020-02-21,Friday,VINH_LONG,153238,16104,10095,85739,64659,62480,29021,43318,36035,48809,54682,68909,6914,6273,7749,1762,773,76,efeeeb01c5e7fe16,https://xoso.com.vn/xsmn-21-02-2020.html,OK
2020-02-28,Friday,VINH_LONG,348114,85563,27376,30845,48068,23800,98447,55931,34407,02553,07178,09484,2582,0255,5622,3243,979,63,ca69652b43fd47be,https://xoso.com.vn/xsmn-28-02-2020.html,OK
2020-03-06,Friday,VINH_LONG,628165,51963,25212,05003,98688,17123,40531,18586,77412,71865,94224,07717,4271,8020,7499,4286,547,16,8f1da637364b1c6e,https://xoso.com.vn/xsmn-06-03-2020.html,OK
2020-03-13,Friday,VINH_LONG,951651,09304,31288,18130,00287,56070,40257,96825,58897,33947,98735,41475,0270,3939,3401,2395,391,01,1740c9a37144cf72,https://xoso.com.vn/xsmn-13-03-2020.html,OK
2020-03-20,Friday,VINH_LONG,211721,51909,53418,76881,36603,62469,66327,65591,67026,68986,00085,39643,4411,7190,5734,5620,683,16,f5ace6637ee11097,https://xoso.com.vn/xsmn-20-03-2020.html,OK
2020-03-27,Friday,VINH_LONG,301015,01442,43856,78122,66033,48196,86992,32189,74835,48294,38033,03936,9277,6144,2734,9547,914,60,85e111a1db66f86c,https://xoso.com.vn/xsmn-27-03-2020.html,OK
