date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-07,Tuesday,VUNG_TAU,873455,29378,60655,45118,27810,81681,60056,72125,42185,64583,51924,06491,3980,0530,6691,6878,070,03,142c62f12c8944ab,https://xoso.com.vn/xsmn-07-01-2020.html,OK
2020-01-14,Tuesday,VUNG_TAU,694086,08666,35296,19793,01574,29030,37993,97620,56554,89048,51426,98192,8196,2703,7359,9078,868,56,19c9ef2c7b4ab6ca,https://xoso.com.vn/xsmn-14-01-2020.html,OK
2020-01-21,Tuesday,VUNG_TAU,964170,73497,11232,91990,58978,27494,21024,80457,89980,37496,48709,87851,1350,4836,8036,8507,254,57,c21b340da35c62b8,https://xoso.com.vn/xsmn-21-01-2020.html,OK
2020-01-28,Tuesday,VUNG_TAU,223900,62485,99184,23989,86891,92274,96449,66798,58687,34002,24514,28685,1975,1916,4437,4111,582,45,9e428da223c1d3dd,https://xoso.com.vn/xsmn-28-01-2020.html,OK
2020-02-04,Tuesday,VUNG_TAU,437318,07565,27440,56334,85866,24677,28153,36554,70054,05305,68692,83572,7801,1809,6019,8024,631,61,21e2bff2f230a7f3,https://xoso.com.vn/xsmn-04-02-2020.html,OK
2020-02-11,Tuesday,VUNG_TAU,266431,58753,45971,50160,10389,50811,17545,18532,85432,80460,17099,34520,4762,4568,7370,1986,734,45,47f635e739478995,https://xoso.com.vn/xsmn-11-02-2020.html,OK
2020-02-18,Tuesday,VUNG_TAU,737854,48838,02474,12057,65332,33106,74636,43205,45427,47736,07904,58593,4971,5324,6787,5918,938,37,e270ec39c6b8620f,https://xoso.com.vn/xsmn-18-02-2020.html,OK
2020-02-25,Tuesday,VUNG_TAU,514370,89630,78006,14822,80100,99011,64829,45518,32098,97571,04590,24810,5061,2153,0006,7131,101,90,ec3bb386950ae956,https://xoso.com.vn/xsmn-25-02-2020.html,OK
2020-03-03,Tuesday,VUNG_TAU,931881,60915,54997,94305,20039,97714,16230,97351,78874,13626,63851,65317,4780,4334,5027,1893,246,61,600efb9df958c75f,https://xoso.com.vn/xsmn-03-03-2020.html,OK
2020-03-10,Tuesday,VUNG_TAU,738654,97862,60356,68552,01781,93607,11751,24067,62774,43355,65737,31149,0757,3112,8338,4921,616,17,146783b3fc424931,https://xoso.com.vn/xsmn-10-03-2020.html,OK
2020-03-17,Tuesday,VUNG_TAU,339256,57210,86795,36973,96959,40663,36172,77270,76059,88397,83428,01955,6855,2651,7612,1761,699,32,14de2a3bcfd63634,https://xoso.com.vn/xsmn-17-03-2020.html,OK
2020-03-24,Tuesday,VUNG_TAU,614071,82315,59786,70374,51618,39881,59893,85515,62132,37655,97161,95644,8697,0973,0794,5380,169,73,0b78a51f99b0485a,https://xoso.com.vn/xsmn-24-03-2020.html,OK
2020-03-31,Tuesday,VUNG_TAU,351163,92536,31899,91232,20118,05871,59707,12293,73984,07483,78308,73836,6081,2031,1407,0135,440,08,f176b153f587e814,https://xoso.com.vn/xsmn-31-03-2020.html,OK
2020-05-05,Tuesday,VUNG_TAU,864898,36740,07217,28634,71032,78635,65561,41237,13723,01405,23282,61180,0936,8804,1084,4529,321,86,32adf47b7110eb6b,https://xoso.com.vn/xsmn-05-05-2020.html,OK
2020-05-12,Tuesday,VUNG_TAU,894499,12212,28901,78265,72771,65192,84746,11242,29168,39634,50863,50546,3226,0236,0505,1262,402,23,cc09359563b0bd56,https://xoso.com.vn/xsmn-12-05-2020.html,OK
2020-05-19,Tuesday,VUNG_TAU,676134,39410,53912,68484,64414,90420,47257,56192,80406,72727,74734,04714,4356,7100,7115,4286,595,60,ea7c8402263f45b3,https://xoso.com.vn/xsmn-19-05-2020.html,OK
2020-05-26,Tuesday,VUNG_TAU,501434,21033,14151,72860,86302,43366,53372,82116,79903,84542,96313,96429,8007,6264,2673,0910,423,39,114ea5b08092f44c,https://xoso.com.vn/xsmn-26-05-2020.html,OK
2020-06-02,Tuesday,VUNG_TAU,343462,51663,12866,90781,10241,17984,97784,00082,00776,07786,68126,75904,6659,6363,7537,7599,935,00,c9d63e605434914f,https://xoso.com.vn/xsmn-02-06-2020.html,OK
2020-06-09,Tuesday,VUNG_TAU,559610,83374,72730,10116,48347,74761,42219,03426,24139,55623,58681,84031,6727,0798,1068,8604,653,34,b579453d4da70c09,https://xoso.com.vn/xsmn-09-06-2020.html,OK
2020-06-16,Tuesday,VUNG_TAU,708556,31589,99352,48305,13450,11575,76239,08454,27125,42325,57395,15025,2798,6781,9641,3895,428,15,5a8540681f403e4d,https://xoso.com.vn/xsmn-16-06-2020.html,OK
2020-06-23,Tuesday,VUNG_TAU,524034,35885,43656,53144,69087,93508,67233,49770,81185,31622,95717,49534,1347,8380,5636,6301,098,50,6b7c932b75c5abf0,https://xoso.com.vn/xsmn-23-06-2020.html,OK
2020-06-30,Tuesday,VUNG_TAU,369253,57336,65789,89633,81638,38092,32381,10320,25278,49819,51414,20462,6914,8231,6758,6143,988,26,6205f525fbe97c65,https://xoso.com.vn/xsmn-30-06-2020.html,OK
2020-07-07,Tuesday,VUNG_TAU,241636,55636,31293,87102,37349,82204,81363,66266,96558,74965,15064,24413,2385,0536,5375,7257,205,61,54fbf732228014aa,https://xoso.com.vn/xsmn-07-07-2020.html,OK
2020-07-14,Tuesday,VUNG_TAU,720029,54246,18319,08729,22983,72730,96136,94255,57791,81382,26066,48316,5743,2962,1834,6993,800,67,714f04ac65d21a41,https://xoso.com.vn/xsmn-14-07-2020.html,OK
2020-07-21,Tuesday,VUNG_TAU,251517,94002,96748,40225,07901,45593,66751,97049,41112,61474,62370,94380,8206,8972,7818,8004,283,86,683665977aa59913,https://xoso.com.vn/xsmn-21-07-2020.html,OK
2020-07-28,Tuesday,VUNG_TAU,051601,22609,73166,59758,81783,43120,83501,17950,71062,36350,47778,82623,3809,9575,7877,4517,659,84,b1c483d8840745dc,https://xoso.com.vn/xsmn-28-07-2020.html,OK
2020-08-04,Tuesday,VUNG_TAU,017584,02715,18429,22802,71832,54269,35117,90538,88878,17225,49863,08106,3569,2003,7792,4335,222,27,607382ca6c41d601,https://xoso.com.vn/xsmn-04-08-2020.html,OK
2020-08-11,Tuesday,VUNG_TAU,527204,79516,46442,38706,93774,10210,43027,37174,36571,34261,88937,93054,7346,6206,5592,6226,213,11,d3a805c900d34935,https://xoso.com.vn/xsmn-11-08-2020.html,OK
2020-08-18,Tuesday,VUNG_TAU,699289,00662,67479,77630,66528,41536,60285,01113,92965,95932,68718,02719,3010,3408,7989,3152,571,12,e4055fca950ece87,https://xoso.com.vn/xsmn-18-08-2020.html,OK
2020-08-25,Tuesday,VUNG_TAU,639850,42424,48686,59135,68119,44654,88073,93918,78251,22355,21378,74497,5764,5836,5052,0005,172,51,484aa9aa3487a069,https://xoso.com.vn/xsmn-25-08-2020.html,OK
2020-09-01,Tuesday,VUNG_TAU,398056,61444,68497,25634,91588,65032,00582,39382,27876,25247,90080,12034,0976,5224,9685,0759,982,40,66f84d158ec2da12,https://xoso.com.vn/xsmn-01-09-2020.html,OK
2020-09-08,Tuesday,VUNG_TAU,343786,76072,97329,00999,57216,99991,80776,13122,03077,19996,64046,95120,8268,7133,9883,5991,495,94,e4e89f53f21ea5a2,https://xoso.com.vn/xsmn-08-09-2020.html,OK
