province_code,province,rows,min_date,max_date,status
TPHCM,TP.HCM,655,2020-01-04,2026-08-22,OK
DONG_THAP,Đồng Tháp,327,2020-01-06,2026-08-17,OK
CA_MAU,Cà Mau,327,2020-01-06,2026-08-17,OK
BEN_TRE,Bến Tre,327,2020-01-07,2026-08-18,OK
VUNG_TAU,Vũng Tàu,327,2020-01-07,2026-08-18,OK
BAC_LIEU,Bạc Liêu,327,2020-01-07,2026-08-18,OK
DONG_NAI,Đồng Nai,328,2020-01-01,2026-08-19,OK
CAN_THO,Cần Thơ,328,2020-01-01,2026-08-19,OK
SOC_TRANG,Sóc Trăng,328,2020-01-01,2026-08-19,OK
TAY_NINH,Tây Ninh,328,2020-01-02,2026-08-20,OK
AN_GIANG,An Giang,328,2020-01-02,2026-08-20,OK
BINH_THUAN,Bình Thuận,328,2020-01-02,2026-08-20,OK
VINH_LONG,Vĩnh Long,328,2020-01-03,2026-08-21,OK
BINH_DUONG,Bình Dương,328,2020-01-03,2026-08-21,OK
TRA_VINH,Trà Vinh,328,2020-01-03,2026-08-21,OK
LONG_AN,Long An,328,2020-01-04,2026-08-22,OK
BINH_PHUOC,Bình Phước,328,2020-01-04,2026-08-22,OK
HAU_GIANG,Hậu Giang,328,2020-01-04,2026-08-22,OK
TIEN_GIANG,Tiền Giang,327,2020-01-05,2026-08-16,OK
KIEN_GIANG,Kiên Giang,327,2020-01-05,2026-08-16,OK
DA_LAT,Đà Lạt,327,2020-01-05,2026-08-16,OK
