date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-01,Wednesday,CAN_THO,091446,12588,46839,01317,57809,68049,94813,46650,54953,93791,69233,30021,1080,7443,8510,1365,288,67,daa11e4a7c01fd6a,https://xoso.com.vn/xsmn-01-01-2020.html,OK
2020-01-01,Wednesday,DONG_NAI,657749,24599,49300,76179,05605,27461,84466,60973,12966,09956,87331,07340,6135,1724,3100,9011,508,07,23999959339ab789,https://xoso.com.vn/xsmn-01-01-2020.html,OK
2020-01-01,Wednesday,SOC_TRANG,066758,24155,57135,72390,25842,13102,08938,93611,09951,92092,42130,39137,5847,0746,6564,3305,470,85,bd102cbab83f7d6c,https://xoso.com.vn/xsmn-01-01-2020.html,OK
2020-01-02,Thursday,AN_GIANG,540009,72442,51501,67230,98626,14914,41242,21377,68932,74934,97683,88505,1764,2890,5798,4337,322,91,9d3c16886827e74b,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-02,Thursday,BINH_THUAN,252800,10437,08161,74021,34040,91699,64153,68253,29905,56496,12725,13063,4163,7896,5905,3780,698,69,5b40bfb1db4e672e,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-02,Thursday,TAY_NINH,967758,88805,36253,24034,09786,69364,89046,86092,18058,91985,65107,40840,0250,5701,1187,2657,127,70,f5914f749193f0c0,https://xoso.com.vn/xsmn-02-01-2020.html,OK
2020-01-03,Friday,BINH_DUONG,071075,59909,40489,61128,87353,91544,27614,79574,42212,41272,25299,47459,2356,6877,1002,0124,682,91,2beeec4aad56a18b,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-03,Friday,TRA_VINH,582167,42362,35754,40598,69241,65125,53775,82740,63458,13837,38622,43874,6803,3645,3885,5120,901,68,fc84b6ada3ee460f,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-03,Friday,VINH_LONG,185972,15933,15698,04343,42353,22342,49776,00116,51642,23297,26239,17600,2385,2660,3122,1265,048,03,85dba5f9ebbde755,https://xoso.com.vn/xsmn-03-01-2020.html,OK
2020-01-04,Saturday,BINH_PHUOC,503775,64421,00466,69689,93436,11456,47691,14635,20647,18824,83098,82212,6237,3179,7713,6594,350,03,4d3b24158a889239,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-04,Saturday,HAU_GIANG,532472,10817,80661,74434,31538,82914,15755,84041,88645,82664,18158,86623,8298,6967,7120,4029,533,84,07a874e2d8487959,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-04,Saturday,LONG_AN,085563,25158,87394,14712,05110,80646,15806,58392,72515,03123,27783,76112,6240,2943,3958,2873,436,08,46c417590d398a31,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-04,Saturday,TPHCM,830331,22175,00454,28341,88788,53970,01756,92440,12645,43836,23845,53258,1835,4450,9600,2537,626,10,7bfc077e5ecc16d1,https://xoso.com.vn/xsmn-04-01-2020.html,OK
2020-01-05,Sunday,DA_LAT,096736,14216,09250,59091,96757,72204,06468,82062,05122,01482,88080,93999,1081,1004,0367,7441,013,20,c5bec5e0c7a07435,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-05,Sunday,KIEN_GIANG,772177,31324,20203,26941,21745,10657,02674,41658,93279,39113,71588,43306,7498,7532,9532,9426,376,67,5e4683c301146e22,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-05,Sunday,TIEN_GIANG,507554,90759,13174,78578,69902,23122,83532,62210,47064,38482,58017,90735,7034,1640,3927,6784,859,14,7be005a140ad4fea,https://xoso.com.vn/xsmn-05-01-2020.html,OK
2020-01-06,Monday,CA_MAU,758611,41227,09612,99692,07807,89544,24506,60378,29161,16308,23198,78031,9514,1676,4452,8864,568,90,93c263e44e8e7559,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-06,Monday,DONG_THAP,661676,35629,57493,57156,44052,08057,41837,22255,56202,84010,90776,13645,4305,2763,4884,3174,897,51,37a819efada7373c,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-06,Monday,TPHCM,418470,83056,06177,43694,25686,44172,51863,10390,63423,98357,64711,32659,2209,7561,0715,1460,738,14,0ddc8823639b15fe,https://xoso.com.vn/xsmn-06-01-2020.html,OK
2020-01-07,Tuesday,BAC_LIEU,096701,55664,17856,59319,49623,25193,07374,40717,98329,93022,03529,67941,2325,2996,8592,5726,967,57,ce7b8ace193c3f50,https://xoso.com.vn/xsmn-07-01-2020.html,OK
2020-01-07,Tuesday,BEN_TRE,920908,52399,68291,21627,13648,88361,39616,84603,14917,60273,89916,55600,6649,3412,6840,4438,496,87,08d7a706e4b62935,https://xoso.com.vn/xsmn-07-01-2020.html,OK
2020-01-07,Tuesday,VUNG_TAU,873455,29378,60655,45118,27810,81681,60056,72125,42185,64583,51924,06491,3980,0530,6691,6878,070,03,142c62f12c8944ab,https://xoso.com.vn/xsmn-07-01-2020.html,OK
2020-01-08,Wednesday,CAN_THO,778670,22967,85733,62536,44697,06656,38478,01969,08257,66419,01782,01522,3125,8060,7604,5410,545,72,63f53bdd2aa13b72,https://xoso.com.vn/xsmn-08-01-2020.html,OK
2020-01-08,Wednesday,DONG_NAI,038025,01797,88116,61729,99593,53464,28493,01427,68293,27103,76963,35416,1811,2127,7626,8810,489,65,e4d7b61add4a67f2,https://xoso.com.vn/xsmn-08-01-2020.html,OK
2020-01-08,Wednesday,SOC_TRANG,345092,81275,57886,40247,63443,05369,43368,56129,05540,41969,24739,01446,7504,6439,6577,9088,961,82,f0ed1f614a10950c,https://xoso.com.vn/xsmn-08-01-2020.html,OK
2020-01-09,Thursday,AN_GIANG,278091,55544,30168,95645,56331,46466,10644,87296,75190,46265,81066,73129,8298,3044,9390,4313,880,56,0bbd0e3086d16719,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-09,Thursday,BINH_THUAN,896922,60435,73488,96930,18371,85401,79701,90087,70072,14976,51238,13079,7602,8287,1692,5855,797,89,539804031378261b,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-09,Thursday,TAY_NINH,318706,16965,31640,68368,44822,49794,98017,92429,04227,99425,81332,96316,1166,4072,5194,3304,548,38,055ac54d47d69e74,https://xoso.com.vn/xsmn-09-01-2020.html,OK
2020-01-10,Friday,BINH_DUONG,471406,20609,19689,75082,89646,39215,78664,70144,43896,11994,52607,99367,0009,3929,5454,2475,931,83,c056800735f87e82,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-10,Friday,TRA_VINH,140730,08307,83139,26379,59108,68577,81119,39657,46982,67670,05802,12966,7235,3584,2138,8598,860,47,59eaed9cbfb7f5aa,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-10,Friday,VINH_LONG,902356,34029,14083,48163,29186,19280,95424,37952,12601,86677,39213,95451,0291,9628,9290,7166,998,85,da75e149b0640b82,https://xoso.com.vn/xsmn-10-01-2020.html,OK
2020-01-11,Saturday,BINH_PHUOC,043635,32767,18103,28623,08985,16776,52068,22828,83689,88881,94160,59283,6817,6173,4529,8741,857,17,83772ff14e4f7656,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-11,Saturday,HAU_GIANG,184322,38901,50302,85093,66230,65608,85970,70502,72942,44107,84801,79897,3268,5625,2127,6577,930,77,dcc9f57a9228bbcc,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-11,Saturday,LONG_AN,686629,34860,14988,13645,81697,30699,28556,72726,06518,75067,36623,40118,8709,2039,5674,1083,617,32,911dbb93310c7eaf,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-11,Saturday,TPHCM,982705,41714,80839,91968,15748,21724,51850,41392,99727,50874,66726,38113,6505,9038,1939,1609,740,84,1eb124a97707c80f,https://xoso.com.vn/xsmn-11-01-2020.html,OK
2020-01-12,Sunday,DA_LAT,194598,85859,42392,74963,03512,74637,09813,37645,92813,66252,96673,28978,4436,7191,4287,4748,093,97,1f8cfada3316f292,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-12,Sunday,KIEN_GIANG,887952,65545,94524,46309,20402,54723,32578,86732,25103,59945,23953,58044,8973,8450,0582,0489,045,83,92c6a458413c742f,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-12,Sunday,TIEN_GIANG,171328,92471,26391,03119,61929,42449,17565,36588,95222,97711,64737,00751,2197,7513,2989,2132,707,39,ffb054612333fcd8,https://xoso.com.vn/xsmn-12-01-2020.html,OK
2020-01-13,Monday,CA_MAU,009069,20051,18643,31649,70134,38380,72643,83828,59286,39562,67164,51414,5197,7256,9164,8966,334,22,7b0a8dcc0d1dddaa,https://xoso.com.vn/xsmn-13-01-2020.html,OK
2020-01-13,Monday,DONG_THAP,048684,95029,44098,22335,58879,37750,46624,38965,42957,84453,71756,76759,1996,0943,6445,4983,730,99,f466a987a5deb3a1,https://xoso.com.vn/xsmn-13-01-2020.html,OK
2020-01-13,Monday,TPHCM,695662,39292,00585,69816,62962,92357,78499,95280,56705,31258,60987,90686,9441,3144,2011,8465,748,88,715165439fea0236,https://xoso.com.vn/xsmn-13-01-2020.html,OK
