date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-06,Monday,HUE,247502,93524,86152,67114,21218,32651,88412,39006,66241,65245,05344,25332,7307,0610,0783,4410,423,93,e10574512f2d9ce2,https://xoso.com.vn/xsmt-06-01-2020.html,OK
2020-01-13,Monday,HUE,060496,42134,79341,13153,07509,18590,19186,41338,17028,45085,34121,24277,3043,7709,9901,1735,614,03,aa875ff238313ccd,https://xoso.com.vn/xsmt-13-01-2020.html,OK
2020-01-20,Monday,HUE,029735,67589,29179,94276,57102,40124,28100,12322,06990,78741,64731,88971,4406,7602,4752,3585,384,84,b152d363afe07f9b,https://xoso.com.vn/xsmt-20-01-2020.html,OK
2020-01-27,Monday,HUE,467901,63677,11902,67637,54058,51169,74994,46319,51630,10600,21128,01592,8206,2087,1907,5025,872,70,c124ef8c4f09d14b,https://xoso.com.vn/xsmt-27-01-2020.html,OK
2020-02-03,Monday,HUE,810522,28060,01391,60291,95587,16015,83955,38377,85836,55040,15638,95041,4019,1535,8540,2270,330,19,797d978a4ecfe63e,https://xoso.com.vn/xsmt-03-02-2020.html,OK
2020-02-10,Monday,HUE,986281,63805,88382,49802,68191,77130,30171,79398,11844,54967,27449,23225,6325,7117,9928,8852,101,25,f31124b3025dcb61,https://xoso.com.vn/xsmt-10-02-2020.html,OK
2020-02-17,Monday,HUE,658149,15356,36074,56762,47911,41445,19194,84050,20029,23429,76908,58146,0194,3000,3948,5545,000,96,d64d389879e33dbd,https://xoso.com.vn/xsmt-17-02-2020.html,OK
2020-02-24,Monday,HUE,828017,07017,90330,55308,79455,61591,06317,72638,23625,60697,09763,11162,3441,0094,2568,0424,609,85,fa297acbcacfbf71,https://xoso.com.vn/xsmt-24-02-2020.html,OK
2020-03-02,Monday,HUE,737783,04724,70971,19037,99877,50293,77665,51128,20866,04520,28185,63294,0708,5054,0869,0647,523,28,c58c7338226c3c31,https://xoso.com.vn/xsmt-02-03-2020.html,OK
2020-03-09,Monday,HUE,745361,46948,99688,34277,05285,12186,58507,89869,72527,45195,38259,65209,2913,0968,5209,0361,632,39,781c5dcb512baf93,https://xoso.com.vn/xsmt-09-03-2020.html,OK
2020-03-16,Monday,HUE,690355,48928,94866,53341,80017,85795,18782,16869,87538,49636,20942,11579,4411,0439,0770,6755,341,96,bfc5f55613cfe2ba,https://xoso.com.vn/xsmt-16-03-2020.html,OK
2020-03-23,Monday,HUE,524007,03770,60108,16402,30197,90634,23117,58143,29719,20247,34011,26904,1922,9608,1123,0723,759,11,a7166631dba3376a,https://xoso.com.vn/xsmt-23-03-2020.html,OK
2020-03-30,Monday,HUE,381455,57756,46230,60537,64001,55403,24975,24225,24048,15461,79113,99176,4842,6016,2671,5692,924,17,2563f981f0e706f2,https://xoso.com.vn/xsmt-30-03-2020.html,OK
2020-04-27,Monday,HUE,373307,48337,82598,33357,43735,54254,33814,97273,69323,82808,55474,49618,1393,1027,7974,7589,249,28,9415ce460ad4efc0,https://xoso.com.vn/xsmt-27-04-2020.html,OK
2020-05-04,Monday,HUE,550668,14610,83146,34456,56496,00664,01100,32781,98902,25556,03671,87588,1955,0331,8686,2980,809,17,44f590d6e73fac1e,https://xoso.com.vn/xsmt-04-05-2020.html,OK
2020-05-11,Monday,HUE,481192,09641,10094,85909,41756,15203,76005,95047,43729,21198,84835,30650,1579,3971,2623,2784,220,75,b27f694c6142f29f,https://xoso.com.vn/xsmt-11-05-2020.html,OK
2020-05-18,Monday,HUE,059261,99576,98704,50217,89902,26582,39089,97587,01250,79080,98404,37191,7711,3838,7667,3565,029,38,c4173a4393a04497,https://xoso.com.vn/xsmt-18-05-2020.html,OK
2020-05-25,Monday,HUE,006272,72068,02941,55851,21399,76915,93641,84418,13226,49106,21276,60171,5665,5937,2136,6111,040,98,bbe6536d47ffc8a1,https://xoso.com.vn/xsmt-25-05-2020.html,OK
2020-06-01,Monday,HUE,988336,13763,07783,80662,97482,23690,23216,39841,26782,04001,47795,19434,7787,5038,6667,6028,110,21,b8bf8e377aae5a13,https://xoso.com.vn/xsmt-01-06-2020.html,OK
2020-06-08,Monday,HUE,857592,87578,15893,26545,11786,08807,04891,60328,61278,36476,06786,77282,8739,3886,9117,9167,410,53,2f78c6b02d7ecea5,https://xoso.com.vn/xsmt-08-06-2020.html,OK
2020-06-15,Monday,HUE,301413,00083,39841,05125,40659,72197,48313,45616,77835,58618,82717,42085,8039,2581,7661,4000,700,19,e3976bf8dd930349,https://xoso.com.vn/xsmt-15-06-2020.html,OK
2020-06-22,Monday,HUE,702100,88577,29583,75105,56631,54917,86693,88691,31244,32120,21074,81646,5908,7559,6501,0699,374,73,125f7ab3016d92e0,https://xoso.com.vn/xsmt-22-06-2020.html,OK
2020-06-29,Monday,HUE,589406,50394,64804,77976,55384,42782,95585,77316,27970,24741,31382,28362,8370,0703,4815,8828,375,17,f986e003549b03df,https://xoso.com.vn/xsmt-29-06-2020.html,OK
2020-07-06,Monday,HUE,509906,38743,36437,28957,58646,16349,61327,10090,35527,18521,29929,38278,0321,3282,5483,4722,724,52,04e2acdf9d01636b,https://xoso.com.vn/xsmt-06-07-2020.html,OK
2020-07-13,Monday,HUE,871213,42401,01396,51863,08730,69416,22047,52024,91052,47606,77224,14517,2170,0632,2424,5480,729,65,238ee6396fdb95f1,https://xoso.com.vn/xsmt-13-07-2020.html,OK
2020-07-20,Monday,HUE,374369,22078,22601,38956,59915,48527,65014,99223,77405,93363,30688,92221,9491,0944,3855,7334,295,67,df82bae1f48ba08e,https://xoso.com.vn/xsmt-20-07-2020.html,OK
2020-07-27,Monday,HUE,634422,38218,75310,39407,13458,81348,56872,05251,40228,53834,63664,40135,9173,1017,2256,4092,994,76,3786ce7f3893a716,https://xoso.com.vn/xsmt-27-07-2020.html,OK
2020-08-03,Monday,HUE,261151,67084,26384,30322,55041,40779,87717,86911,10328,45854,29487,60601,0262,5990,5993,7767,293,47,91d7ba28a2ec6c0a,https://xoso.com.vn/xsmt-03-08-2020.html,OK
2020-08-10,Monday,HUE,274697,40705,47579,60200,19578,37131,23442,61654,31709,26011,12637,32539,6489,5811,3216,2003,516,25,2c2519599e4a2df3,https://xoso.com.vn/xsmt-10-08-2020.html,OK
2020-08-17,Monday,HUE,968010,22894,98238,65493,29953,45067,03378,82367,75031,69373,55637,91833,7595,7409,4900,2810,549,67,9e629161eea4dd01,https://xoso.com.vn/xsmt-17-08-2020.html,OK
2020-08-24,Monday,HUE,087214,83830,28512,38469,12170,74396,65810,25968,84632,86864,41321,15862,3243,0932,7457,3663,724,81,9da07a9357bd9c04,https://xoso.com.vn/xsmt-24-08-2020.html,OK
2020-08-31,Monday,HUE,441012,56518,07081,18588,48500,11191,50747,19314,61175,97245,31600,39094,7070,4445,1053,2882,187,28,c81b49e382078ac3,https://xoso.com.vn/xsmt-31-08-2020.html,OK
2020-09-07,Monday,HUE,068129,11982,35423,74518,52175,44696,08911,77527,21477,08996,11220,13236,8884,2486,5164,0373,127,54,c3a1a23c281bd71d,https://xoso.com.vn/xsmt-07-09-2020.html,OK
2020-09-14,Monday,HUE,830132,32014,59512,42682,55135,81959,49342,22420,51830,61329,67971,42853,0576,3554,3640,1072,549,08,da420e2645fedc57,https://xoso.com.vn/xsmt-14-09-2020.html,OK
2020-09-21,Monday,HUE,465299,45727,74851,75466,26248,09262,97139,52445,73867,47238,04051,50376,0380,2056,6294,6794,742,22,01a2272685dfab44,https://xoso.com.vn/xsmt-21-09-2020.html,OK
2020-09-28,Monday,HUE,100360,56660,41502,40655,89852,74220,74049,65810,53906,45549,53278,67371,6534,4353,2971,2900,380,17,e52e077975f0336c,https://xoso.com.vn/xsmt-28-09-2020.html,OK
2020-10-05,Monday,HUE,499092,75794,00708,33993,97235,79807,45768,87152,55603,62503,84206,71378,0581,6827,0521,1711,236,62,e89ece909da2e374,https://xoso.com.vn/xsmt-05-10-2020.html,OK
2020-10-12,Monday,HUE,884904,16194,23148,82408,10136,09615,18882,90538,98449,73903,25379,37760,5475,2896,1061,3297,251,11,34d5b3e6dda06c74,https://xoso.com.vn/xsmt-12-10-2020.html,OK
2020-10-19,Monday,HUE,543636,51933,17908,25164,84886,99353,54049,73861,54180,97802,38456,19120,3656,1439,8035,8153,921,71,3d8d2b07623863a8,https://xoso.com.vn/xsmt-19-10-2020.html,OK
2020-10-26,Monday,HUE,338929,07946,36860,35061,79588,04848,77573,10007,18318,53797,12228,13033,6576,1612,7310,9908,123,06,a664ca1d21981fe9,https://xoso.com.vn/xsmt-26-10-2020.html,OK
2020-11-02,Monday,HUE,900540,65650,35783,43862,17613,59820,37042,00756,24912,24848,70543,52232,3129,8032,5957,3772,270,56,6cb3a14531d1b056,https://xoso.com.vn/xsmt-02-11-2020.html,OK
2020-11-09,Monday,HUE,886801,57782,58775,37084,95269,92491,60039,12264,09716,73741,37493,41991,7259,9400,9386,2677,761,37,3ff752e39feab279,https://xoso.com.vn/xsmt-09-11-2020.html,OK
2020-11-16,Monday,HUE,774014,01043,16029,69331,92273,95652,88224,95739,71528,99795,02372,26485,9418,8999,7011,2269,367,53,e50c961d27db4607,https://xoso.com.vn/xsmt-16-11-2020.html,OK
2020-11-23,Monday,HUE,056098,16747,14315,55183,12621,00723,60233,74407,47220,12325,28989,06857,9343,4493,4821,5728,630,62,89da7518946ed4c8,https://xoso.com.vn/xsmt-23-11-2020.html,OK
2020-11-30,Monday,HUE,927731,99600,42696,74285,08708,35306,42425,94297,39187,52863,94220,90273,5170,4531,2248,7777,257,94,ec45fc961eb32598,https://xoso.com.vn/xsmt-30-11-2020.html,OK
2020-12-07,Monday,HUE,993511,95212,44135,26836,77138,79568,98613,37177,21779,77239,09110,22277,4742,8524,9515,3932,544,58,82f799f0c5edb152,https://xoso.com.vn/xsmt-07-12-2020.html,OK
2020-12-14,Monday,HUE,145340,91391,39725,10427,95790,56132,01380,13418,72247,63176,77676,34133,5503,8683,0201,6723,260,16,e3c169823b7ce6e8,https://xoso.com.vn/xsmt-14-12-2020.html,OK
2020-12-21,Monday,HUE,917885,09385,82651,43404,09093,21590,68885,46329,46357,64059,68497,58583,7206,5993,0847,7614,208,31,710dcd9401272e1e,https://xoso.com.vn/xsmt-21-12-2020.html,OK
2020-12-28,Monday,HUE,293480,67724,21806,81612,51491,24470,00258,49392,43830,12472,41741,38392,9537,8027,6681,1295,251,87,ee4dc301fa3de79c,https://xoso.com.vn/xsmt-28-12-2020.html,OK
2021-01-04,Monday,HUE,328464,14712,97736,83028,84272,61013,71418,54618,36026,23462,91879,34151,7835,5339,6916,5558,901,70,bb7829f144f69705,https://xoso.com.vn/xsmt-04-01-2021.html,OK
2021-01-11,Monday,HUE,234196,47687,09434,82744,43600,69717,88728,08362,27136,16643,65550,62519,5948,3774,0339,5988,120,80,1e8ae9182f5de07b,https://xoso.com.vn/xsmt-11-01-2021.html,OK
2021-01-18,Monday,HUE,103791,68470,78351,25176,25620,30108,20633,62939,75521,14156,72257,57828,3544,9661,1499,6108,052,89,fd8ead75ccdfcde0,https://xoso.com.vn/xsmt-18-01-2021.html,OK
2021-01-25,Monday,HUE,142954,44828,52399,64624,71994,57074,26239,71810,94659,17134,38222,85699,5902,5914,8924,0403,588,78,708bb6af9976bcf3,https://xoso.com.vn/xsmt-25-01-2021.html,OK
2021-02-01,Monday,HUE,197979,20673,69584,91961,24094,60121,44619,30467,12988,16065,56863,23391,2052,9407,1157,9749,769,69,f47d8839b9527e69,https://xoso.com.vn/xsmt-01-02-2021.html,OK
2021-02-08,Monday,HUE,400289,21638,82557,67583,98976,53218,17591,84772,48466,57843,63882,72045,3184,8972,6773,8219,251,33,4f97b8707cca4c41,https://xoso.com.vn/xsmt-08-02-2021.html,OK
2021-02-15,Monday,HUE,741223,42681,43982,22125,33324,42070,70895,62630,21143,87797,94413,04146,5456,4054,6315,7466,655,04,480a2433665548e9,https://xoso.com.vn/xsmt-15-02-2021.html,OK
2021-02-22,Monday,HUE,665420,67286,84853,73195,33242,37053,88733,27703,55807,71990,14935,67683,3976,4058,3611,9787,747,64,1f9a5df7d2a75ccd,https://xoso.com.vn/xsmt-22-02-2021.html,OK
2021-03-01,Monday,HUE,805286,36209,29467,50855,92519,86368,28471,92577,87735,38683,72404,57128,9548,2421,3500,7860,572,61,435cd8143ea57898,https://xoso.com.vn/xsmt-01-03-2021.html,OK
2021-03-08,Monday,HUE,307263,00420,15135,67810,18098,65546,45849,41272,62339,66242,65739,52493,2303,2776,3103,0734,417,79,fa60494c3922729d,https://xoso.com.vn/xsmt-08-03-2021.html,OK
2021-03-15,Monday,HUE,786613,30659,75412,55979,24158,44284,04561,67169,18813,83373,48404,69166,7716,2686,3454,5462,159,61,647a6c0521269c20,https://xoso.com.vn/xsmt-15-03-2021.html,OK
2021-03-22,Monday,HUE,273600,79293,12140,75158,15804,05142,63265,52101,19588,12632,16280,42512,7914,8653,5444,8771,022,39,a5e15561fb1f8ed6,https://xoso.com.vn/xsmt-22-03-2021.html,OK
2021-03-29,Monday,HUE,945469,14021,69303,85111,35110,27531,65957,07524,49790,56952,59759,93203,7724,3072,5895,2427,180,78,b9bef194785989e9,https://xoso.com.vn/xsmt-29-03-2021.html,OK
2021-04-05,Monday,HUE,466735,82805,53981,62250,26880,00644,59817,86789,84013,11777,08385,28852,6937,7040,7645,3672,099,29,ee1816a75bf0130c,https://xoso.com.vn/xsmt-05-04-2021.html,OK
2021-04-12,Monday,HUE,497572,45314,40017,42096,68544,16546,42677,15324,31614,60448,00631,76230,7321,5494,6181,0638,781,77,0dcd7a0bfe134b0c,https://xoso.com.vn/xsmt-12-04-2021.html,OK
2021-04-19,Monday,HUE,097605,09937,40343,69328,78984,18007,56740,92328,81731,55677,42532,77035,1821,9065,5944,4900,767,89,81987a126ac22e71,https://xoso.com.vn/xsmt-19-04-2021.html,OK
2021-04-26,Monday,HUE,810103,85582,65943,40077,66734,26008,45136,73939,50784,16311,56774,89556,8848,3142,5163,1806,325,95,29932bd2a1c5e6df,https://xoso.com.vn/xsmt-26-04-2021.html,OK
2021-05-03,Monday,HUE,676757,19961,22307,17550,59880,85221,95723,51153,65437,51193,60536,43896,4246,8518,4067,5821,977,32,169beba3b02bf74c,https://xoso.com.vn/xsmt-03-05-2021.html,OK
2021-05-10,Monday,HUE,873732,16656,03648,64395,05004,34245,40500,05466,15643,82586,74362,61175,1573,3523,6138,2935,769,27,71810f6a48a8df47,https://xoso.com.vn/xsmt-10-05-2021.html,OK
2021-05-17,Monday,HUE,815543,09694,01971,38188,88736,89208,32702,58814,79260,41780,21246,62882,4555,3149,9788,1083,042,59,f9414c2e10d10e8c,https://xoso.com.vn/xsmt-17-05-2021.html,OK
2021-05-24,Monday,HUE,013003,66405,01941,78344,02689,49020,93618,06188,17829,39026,19249,24620,0891,1679,6538,2540,280,13,d75378b483e1f056,https://xoso.com.vn/xsmt-24-05-2021.html,OK
2021-05-31,Monday,HUE,956379,43144,41430,04191,32026,98860,64836,09249,68565,07973,46882,02120,0694,6867,6368,2284,592,62,4d41613e8d348ad3,https://xoso.com.vn/xsmt-31-05-2021.html,OK
2021-06-07,Monday,HUE,272181,47999,23260,45250,62823,39816,60317,04203,89794,95502,14058,53889,2014,7128,7006,8112,009,78,5269a75f132cfa15,https://xoso.com.vn/xsmt-07-06-2021.html,OK
2021-06-14,Monday,HUE,004009,13690,97373,33940,58216,49396,55956,17505,06150,20053,50997,29346,5376,4316,0986,4730,706,55,7763e34fe7f9c3ba,https://xoso.com.vn/xsmt-14-06-2021.html,OK
2021-06-21,Monday,HUE,392195,55099,16962,33129,45063,92324,00222,85365,29294,58460,41609,89959,1078,7899,9951,4951,976,93,3eba176cc2bec33e,https://xoso.com.vn/xsmt-21-06-2021.html,OK
2021-06-28,Monday,HUE,661578,80914,31850,62064,91141,38991,58487,01273,38249,68811,18670,95241,7845,1225,8615,1728,532,02,0486d190bcecb70c,https://xoso.com.vn/xsmt-28-06-2021.html,OK
2021-07-05,Monday,HUE,391179,66209,93462,41542,32580,29026,78592,22287,56037,19205,95771,42101,1978,1073,5691,2089,571,81,9dacd81edde56764,https://xoso.com.vn/xsmt-05-07-2021.html,OK
2021-07-12,Monday,HUE,572412,30964,34543,35666,05353,79903,84814,17916,68890,65240,49610,42542,8213,6642,9624,0009,680,61,7c6f8f8871cdfdee,https://xoso.com.vn/xsmt-12-07-2021.html,OK
2021-07-19,Monday,HUE,481060,97033,11166,18810,07829,85775,07576,90303,63404,10085,01080,26042,1535,8209,1690,7963,217,63,11edfe3c4d9bb2b1,https://xoso.com.vn/xsmt-19-07-2021.html,OK
2021-07-26,Monday,HUE,692613,68914,05258,00298,97377,93593,98975,19889,41964,14152,49814,19273,7674,1829,4012,0569,627,66,4d688410c46b241e,https://xoso.com.vn/xsmt-26-07-2021.html,OK
2021-08-09,Monday,HUE,796239,27903,96884,47761,04141,09502,97759,63823,83412,55000,91358,23795,4624,8576,0480,3677,188,56,4ebc94cf55f1abe0,https://xoso.com.vn/xsmt-09-08-2021.html,OK
2021-08-16,Monday,HUE,444589,39505,84928,74511,13858,51160,16450,93051,06726,08378,80708,41468,2611,1852,9352,7013,993,36,90adbcfeb54e9425,https://xoso.com.vn/xsmt-16-08-2021.html,OK
2021-08-23,Monday,HUE,759801,20991,46267,41140,72878,73447,66195,63013,46929,40870,63855,47015,5666,9850,5041,6378,384,18,a6bc04dd5b32f173,https://xoso.com.vn/xsmt-23-08-2021.html,OK
2021-08-30,Monday,HUE,249539,21753,79812,75220,62655,60610,57486,21207,43766,73833,13805,64691,2966,7105,8719,8326,556,76,6bfcde430acec576,https://xoso.com.vn/xsmt-30-08-2021.html,OK
2021-09-06,Monday,HUE,662001,04798,30339,29179,51400,13830,28430,12334,88088,11004,65631,66302,8044,2857,7686,8273,729,29,984880f34bd8ecc1,https://xoso.com.vn/xsmt-06-09-2021.html,OK
2021-09-13,Monday,HUE,825912,25510,59630,71340,28694,59835,91572,89916,38637,61801,04051,14947,9097,2986,2068,8493,543,73,e69e40f3732392f6,https://xoso.com.vn/xsmt-13-09-2021.html,OK
2021-09-20,Monday,HUE,920143,33316,53683,38622,35684,65383,83045,84591,30730,17738,00735,63317,5869,0984,0464,4275,149,99,9c855ae05a857826,https://xoso.com.vn/xsmt-20-09-2021.html,OK
2021-09-27,Monday,HUE,968629,23014,49593,26694,38730,82916,84023,46217,07864,15401,82306,65528,6758,3448,8797,2209,781,56,07c178212e59ec60,https://xoso.com.vn/xsmt-27-09-2021.html,OK
2021-10-04,Monday,HUE,934122,45348,06824,17422,10760,83155,87338,18532,51951,25382,31994,95077,3946,3003,0245,7955,579,52,103bf33a63d466ed,https://xoso.com.vn/xsmt-04-10-2021.html,OK
2021-10-11,Monday,HUE,172629,18279,19225,46428,40847,19868,99585,89107,89315,64459,49125,07534,1401,3810,2376,9287,797,53,5cf4ac1928fa5a25,https://xoso.com.vn/xsmt-11-10-2021.html,OK
2021-10-18,Monday,HUE,644064,53085,75309,34728,06822,53243,13157,51911,64784,40275,32621,95348,9536,6025,0588,7640,687,07,5fce150fc6684e7b,https://xoso.com.vn/xsmt-18-10-2021.html,OK
2021-10-25,Monday,HUE,622726,18373,16563,27924,07242,90112,79123,67289,97825,04217,55322,87223,3128,7595,1120,0392,304,22,3d79b5d2b62c2922,https://xoso.com.vn/xsmt-25-10-2021.html,OK
2021-11-01,Monday,HUE,992501,83804,57701,77928,02535,32339,46548,51932,65764,62521,52180,30009,2591,0018,5833,2944,304,44,7d91ccfe127bf5cb,https://xoso.com.vn/xsmt-01-11-2021.html,OK
2021-11-08,Monday,HUE,036018,18180,04404,53662,21041,36177,19501,32869,30214,46537,01656,24165,0472,8210,3590,7762,608,90,671fa1fcb2265021,https://xoso.com.vn/xsmt-08-11-2021.html,OK
2021-11-15,Monday,HUE,390800,54200,91263,87576,59290,31453,75881,53629,76906,62822,89562,08110,4772,4144,7453,3778,653,50,ba555f494b92120e,https://xoso.com.vn/xsmt-15-11-2021.html,OK
2021-11-22,Monday,HUE,488771,06270,45716,70852,80495,83470,12057,81386,93532,10989,94564,20059,8114,8555,6931,4651,012,55,f80dd914066aade8,https://xoso.com.vn/xsmt-22-11-2021.html,OK
2021-11-29,Monday,HUE,026335,12281,48582,89516,90868,86868,50539,46280,89046,09222,52807,21709,9083,6955,9700,2881,644,51,a1ba3055db48c11a,https://xoso.com.vn/xsmt-29-11-2021.html,OK
2021-12-06,Monday,HUE,043048,95471,61787,45966,87874,51255,70417,21301,55021,07956,38648,89452,3296,5674,0829,8753,565,95,9644f0c6c3970f8a,https://xoso.com.vn/xsmt-06-12-2021.html,OK
2021-12-13,Monday,HUE,057188,10688,93500,94245,80868,22985,38375,29308,16056,46253,43028,93938,3748,2732,2356,4625,272,25,6e50be3b0b869486,https://xoso.com.vn/xsmt-13-12-2021.html,OK
