date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-01,Wednesday,KHANH_HOA,279765,06467,61368,00416,65695,55632,94435,62520,89162,71817,95961,03191,3430,6625,0305,5174,322,48,da08b8b0566e8271,https://xoso.com.vn/xsmt-01-01-2020.html,OK
2020-01-05,Sunday,KHANH_HOA,417146,80175,45960,19044,50598,84161,18498,34912,37461,02571,93695,59170,4528,4456,2277,6922,368,30,8de009196d127c2b,https://xoso.com.vn/xsmt-05-01-2020.html,OK
2020-01-08,Wednesday,KHANH_HOA,044140,31058,61284,46239,22375,22811,59327,65856,71349,69094,43962,63488,0383,7644,0092,5106,286,18,92b30c7ab594f5c3,https://xoso.com.vn/xsmt-08-01-2020.html,OK
2020-01-12,Sunday,KHANH_HOA,158570,09521,14839,38491,46869,89982,89942,35046,52268,89944,82097,62882,8275,2654,8654,6923,081,65,aaefdca32c00d85a,https://xoso.com.vn/xsmt-12-01-2020.html,OK
2020-01-15,Wednesday,KHANH_HOA,862898,30183,24915,53020,85050,92304,99993,21542,27978,30590,09393,68759,8365,4991,7644,8851,050,29,ab138a302d62f01c,https://xoso.com.vn/xsmt-15-01-2020.html,OK
2020-01-19,Sunday,KHANH_HOA,606142,19726,29756,66835,28543,64041,23718,94598,71639,67477,32510,61939,7154,6219,3637,2514,364,80,34fa4ed6dca38517,https://xoso.com.vn/xsmt-19-01-2020.html,OK
2020-01-22,Wednesday,KHANH_HOA,808803,06879,92981,44030,84241,78728,37913,32568,85357,59453,11673,28946,1575,3998,2461,7808,116,81,d1d9af1996a8b99f,https://xoso.com.vn/xsmt-22-01-2020.html,OK
2020-01-26,Sunday,KHANH_HOA,521281,47108,44366,99921,19190,52184,30449,21512,85948,43049,87935,09106,3415,8170,8947,7875,284,56,a045c506c4864cf2,https://xoso.com.vn/xsmt-26-01-2020.html,OK
2020-01-29,Wednesday,KHANH_HOA,797386,02493,72188,28083,93736,23185,69580,96007,78495,89815,47199,07436,7248,1045,1760,1490,070,52,b0f0c952ffec80e3,https://xoso.com.vn/xsmt-29-01-2020.html,OK
2020-02-02,Sunday,KHANH_HOA,750166,52919,71224,19884,93125,26897,17420,51547,57112,61719,05154,84033,9066,3900,4261,2815,552,32,0c23c0ed3bd2912f,https://xoso.com.vn/xsmt-02-02-2020.html,OK
2020-02-05,Wednesday,KHANH_HOA,766997,64582,49365,96604,22847,93861,30353,18176,45091,46459,09953,41434,0104,9149,1411,6853,890,38,fea77cb259bdbba7,https://xoso.com.vn/xsmt-05-02-2020.html,OK
2020-02-09,Sunday,KHANH_HOA,441730,07948,95772,98914,48931,86315,68509,28877,19619,31743,72132,18304,3553,8212,2766,6960,702,29,805721e36eda69f8,https://xoso.com.vn/xsmt-09-02-2020.html,OK
2020-02-12,Wednesday,KHANH_HOA,857781,25171,31161,96994,80466,44934,55167,15790,60549,56023,36806,41269,2198,3315,6190,6793,964,56,21efbc30af879366,https://xoso.com.vn/xsmt-12-02-2020.html,OK
2020-02-16,Sunday,KHANH_HOA,862684,22380,99624,10308,80581,36502,42101,25076,27305,84935,06406,18418,3521,1862,9308,7707,012,04,76ae0ded816d3381,https://xoso.com.vn/xsmt-16-02-2020.html,OK
2020-02-19,Wednesday,KHANH_HOA,257147,84358,27050,80804,91199,77281,40978,62678,62506,43610,72490,75614,4953,5316,4099,4674,381,03,66644b742fd6cd0b,https://xoso.com.vn/xsmt-19-02-2020.html,OK
2020-02-23,Sunday,KHANH_HOA,961014,22160,31652,51159,10703,47816,42541,48558,79941,95217,02176,32189,4047,8108,9054,8672,024,77,e4dac5701fda1bfb,https://xoso.com.vn/xsmt-23-02-2020.html,OK
2020-02-26,Wednesday,KHANH_HOA,901455,22783,40777,34983,26191,53730,78600,17679,57825,18851,13995,41835,1487,8577,2132,1788,336,05,f7ad9d3b5c57a726,https://xoso.com.vn/xsmt-26-02-2020.html,OK
2020-03-01,Sunday,KHANH_HOA,185095,02375,30956,79014,52010,72138,05381,78511,63678,62880,19814,26422,2276,4703,1018,4522,219,82,0234bb10f1df3240,https://xoso.com.vn/xsmt-01-03-2020.html,OK
2020-03-04,Wednesday,KHANH_HOA,001728,65723,51827,96971,45148,64469,67094,57891,15239,04136,02057,72703,4188,2845,2573,2203,469,93,cc4dd63557671a02,https://xoso.com.vn/xsmt-04-03-2020.html,OK
2020-03-08,Sunday,KHANH_HOA,692810,01724,97082,49030,93347,17272,56681,27120,19149,83742,96280,22865,4980,6288,7423,0629,849,07,0940bbaaf6a38d27,https://xoso.com.vn/xsmt-08-03-2020.html,OK
2020-03-11,Wednesday,KHANH_HOA,927785,69619,00546,60087,15316,39241,78944,82071,78186,66492,60516,67355,1627,9395,3830,7036,096,42,81b63852839a8385,https://xoso.com.vn/xsmt-11-03-2020.html,OK
2020-03-15,Sunday,KHANH_HOA,822730,13259,57918,80290,17465,42703,58230,41024,76249,05318,07901,88088,5323,1283,0805,4797,716,17,40bd827de5ed0abb,https://xoso.com.vn/xsmt-15-03-2020.html,OK
2020-03-18,Wednesday,KHANH_HOA,351676,77197,58677,68231,22079,82015,73127,86369,65094,26304,88505,87110,7581,1921,2809,2709,264,42,63d95f1993a3bafc,https://xoso.com.vn/xsmt-18-03-2020.html,OK
2020-03-22,Sunday,KHANH_HOA,724248,74934,11168,77633,83456,50208,75099,90196,23962,00420,36249,24823,2346,1632,0505,6074,674,30,5e434a9236d2d89c,https://xoso.com.vn/xsmt-22-03-2020.html,OK
2020-03-25,Wednesday,KHANH_HOA,856476,53271,20953,14722,16989,43372,65453,23596,82719,55772,27912,53996,2711,3657,1962,3199,498,12,1e4e739dccf58443,https://xoso.com.vn/xsmt-25-03-2020.html,OK
2020-03-29,Sunday,KHANH_HOA,048372,46260,12641,53371,83935,66893,81863,70253,02359,13759,31973,09708,1331,7333,3704,5382,148,12,595b6bf3bd0e9f84,https://xoso.com.vn/xsmt-29-03-2020.html,OK
2020-04-26,Sunday,KHANH_HOA,493991,18824,92127,80550,70100,68814,40561,14216,33899,81201,78340,64965,5012,7517,7256,5190,795,09,8987c001ef2ef4f8,https://xoso.com.vn/xsmt-26-04-2020.html,OK
2020-04-29,Wednesday,KHANH_HOA,651785,16443,28359,72167,15052,58416,29579,06044,38372,26129,66993,33551,2328,6497,4745,4427,616,38,de4dd095a33c6069,https://xoso.com.vn/xsmt-29-04-2020.html,OK
2020-05-03,Sunday,KHANH_HOA,518683,00874,67313,85540,94753,14752,54378,96260,09850,43853,15182,72653,9387,2527,9740,4320,766,18,789f9466ec61914b,https://xoso.com.vn/xsmt-03-05-2020.html,OK
2020-05-06,Wednesday,KHANH_HOA,205099,99374,80961,48425,42363,41195,69796,05697,56120,76504,95609,10660,9232,0978,0331,9103,559,63,70dc2919bfa9bbef,https://xoso.com.vn/xsmt-06-05-2020.html,OK
2020-05-10,Sunday,KHANH_HOA,076507,33639,78404,55219,21126,16884,62870,16858,24948,54218,91950,35047,9651,3409,5294,1646,303,50,35162087649b03e2,https://xoso.com.vn/xsmt-10-05-2020.html,OK
2020-05-13,Wednesday,KHANH_HOA,328093,77980,15031,33841,91954,52386,99944,95444,88733,92811,59835,58787,5615,9892,2782,4585,729,30,da474079261a808e,https://xoso.com.vn/xsmt-13-05-2020.html,OK
2020-05-17,Sunday,KHANH_HOA,516671,88701,34401,63084,88429,57280,67532,62289,85113,06160,06165,34808,9816,0363,5189,7397,169,30,a89cf338fea544cb,https://xoso.com.vn/xsmt-17-05-2020.html,OK
2020-05-20,Wednesday,KHANH_HOA,123831,04224,29858,04894,80513,23960,49902,10252,27168,15164,70257,19477,1964,0073,9645,3232,660,99,aa841238e0c0e7ce,https://xoso.com.vn/xsmt-20-05-2020.html,OK
2020-05-24,Sunday,KHANH_HOA,003722,64024,50976,74600,87555,22499,04256,79419,52012,97968,18350,33529,4560,6516,1989,7069,726,23,c4855b9ae6005ac7,https://xoso.com.vn/xsmt-24-05-2020.html,OK
2020-05-27,Wednesday,KHANH_HOA,757705,28377,84315,89798,49254,76171,28354,50621,13257,42624,72868,99270,9694,8430,1999,7809,333,79,beb156e3b9df8b47,https://xoso.com.vn/xsmt-27-05-2020.html,OK
2020-05-31,Sunday,KHANH_HOA,111540,50311,17029,94057,52482,51735,83166,22826,00232,52611,92883,66674,4755,0817,4798,7512,420,02,30f88ea70b62c412,https://xoso.com.vn/xsmt-31-05-2020.html,OK
2020-06-03,Wednesday,KHANH_HOA,862992,29744,56523,45358,44554,77317,65508,75785,34245,32060,14008,55288,6257,5580,2160,9203,967,10,0503a6f175edb690,https://xoso.com.vn/xsmt-03-06-2020.html,OK
2020-06-07,Sunday,KHANH_HOA,222523,18825,77627,42158,54657,80098,66804,53160,07183,99023,70401,15186,4318,0374,7245,3033,723,44,6a484cc41df61bc7,https://xoso.com.vn/xsmt-07-06-2020.html,OK
2020-06-10,Wednesday,KHANH_HOA,482640,96532,58361,20207,94442,71352,61287,58935,19179,23761,35757,46746,3731,3920,0289,7210,052,71,bab80576fe028bc5,https://xoso.com.vn/xsmt-10-06-2020.html,OK
2020-06-14,Sunday,KHANH_HOA,025619,29828,09302,65259,94184,02017,46788,33682,46544,64916,01137,26988,0356,9268,5921,8292,784,44,807246c61a439fb1,https://xoso.com.vn/xsmt-14-06-2020.html,OK
2020-06-17,Wednesday,KHANH_HOA,556547,22636,60267,67996,14343,02402,10684,55840,21204,90798,46373,17793,9112,0977,7388,6688,364,89,56c560153f0a92fa,https://xoso.com.vn/xsmt-17-06-2020.html,OK
2020-06-21,Sunday,KHANH_HOA,798817,64007,71295,91531,59824,81607,05139,76328,41881,23361,77735,89729,8888,5717,8507,0993,316,89,e5dc09fb57192380,https://xoso.com.vn/xsmt-21-06-2020.html,OK
2020-06-24,Wednesday,KHANH_HOA,046606,00823,70414,11222,80115,40797,24776,28234,88724,14609,71382,80453,4259,3892,9709,6100,719,98,47c16b73fd59d07c,https://xoso.com.vn/xsmt-24-06-2020.html,OK
2020-06-28,Sunday,KHANH_HOA,407133,03401,49246,27851,95172,90220,01170,45728,59191,58435,53804,74002,1152,9886,3992,0977,187,34,6f8be11f58849890,https://xoso.com.vn/xsmt-28-06-2020.html,OK
2020-07-01,Wednesday,KHANH_HOA,428917,02265,34194,20161,92832,81441,72437,25064,09297,00301,60507,56928,4474,2668,0933,6264,274,20,0f1feef2c6292883,https://xoso.com.vn/xsmt-01-07-2020.html,OK
2020-07-05,Sunday,KHANH_HOA,497673,01653,19679,72035,43609,12575,03573,42249,18407,81525,62845,21899,9432,2783,0232,5031,255,44,dfa992af1e151662,https://xoso.com.vn/xsmt-05-07-2020.html,OK
2020-07-08,Wednesday,KHANH_HOA,781342,82803,95904,12986,65712,38935,91635,22020,15592,30678,63596,38907,2151,8813,2815,9085,956,40,9b19c08b4a133d51,https://xoso.com.vn/xsmt-08-07-2020.html,OK
2020-07-12,Sunday,KHANH_HOA,643818,68541,27671,98308,24088,58236,31798,97906,32703,50045,65739,92984,4628,1787,3831,6550,041,69,b55d2e07c8dfe444,https://xoso.com.vn/xsmt-12-07-2020.html,OK
2020-07-15,Wednesday,KHANH_HOA,084934,76422,93769,03641,34458,14436,06424,56009,33259,69308,33952,41847,8143,5737,1584,5492,993,89,0c5e2ebcc9f4b86f,https://xoso.com.vn/xsmt-15-07-2020.html,OK
2020-07-19,Sunday,KHANH_HOA,354688,58328,70670,12377,43325,67940,18292,26725,59963,52749,25893,27102,2004,7965,7585,7347,591,84,c59ce7757bec84ae,https://xoso.com.vn/xsmt-19-07-2020.html,OK
2020-07-22,Wednesday,KHANH_HOA,453120,85677,46278,62848,30717,68630,36409,96195,70172,63271,31924,40571,2545,9039,6121,0856,939,83,6911f2fdd51d1346,https://xoso.com.vn/xsmt-22-07-2020.html,OK
2020-07-26,Sunday,KHANH_HOA,213815,14326,36610,56285,34361,74174,84211,84684,52283,63040,07000,22232,6111,6901,0275,9250,904,86,4789a18b3aa57815,https://xoso.com.vn/xsmt-26-07-2020.html,OK
2020-07-29,Wednesday,KHANH_HOA,112464,32182,67428,65963,39887,50602,16280,77092,14327,87314,69710,11893,8683,5499,4819,7774,215,97,99e93e71fea3e58e,https://xoso.com.vn/xsmt-29-07-2020.html,OK
