date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-05,Sunday,KON_TUM,706355,61472,60825,96808,63816,47336,91521,16757,61106,19075,70234,84476,1471,1658,1604,6818,611,19,f27dc1130dc72e37,https://xoso.com.vn/xsmt-05-01-2020.html,OK
2020-01-12,Sunday,KON_TUM,126760,13214,91696,78844,82845,80574,11184,33769,45823,48439,74979,91024,7970,8642,5778,0139,947,73,613ff7b980a339e7,https://xoso.com.vn/xsmt-12-01-2020.html,OK
2020-01-19,Sunday,KON_TUM,333664,54229,68901,19704,49006,47627,86403,67540,12549,58644,12742,75360,3724,3502,3470,6242,214,89,8aad2cc5fcc639ff,https://xoso.com.vn/xsmt-19-01-2020.html,OK
2020-01-26,Sunday,KON_TUM,768587,58483,25065,16415,80172,49831,30323,06614,29295,89221,34713,14328,0910,8761,2834,3368,121,91,6c898fd140ac4a2b,https://xoso.com.vn/xsmt-26-01-2020.html,OK
2020-02-02,Sunday,KON_TUM,488635,81776,78979,88017,05632,06147,34213,73753,31167,74360,19780,45024,7878,7397,4845,7002,897,99,8233629b78766965,https://xoso.com.vn/xsmt-02-02-2020.html,OK
2020-02-09,Sunday,KON_TUM,553673,89884,31519,74108,73779,11681,10324,57006,38036,99732,78312,73104,0395,3340,7262,5280,495,77,c826a0e8b817d215,https://xoso.com.vn/xsmt-09-02-2020.html,OK
2020-02-16,Sunday,KON_TUM,082926,26059,82760,97797,21483,09125,48747,09446,85308,24964,47879,39922,9885,7222,5165,1447,422,89,cc86657a23f26b95,https://xoso.com.vn/xsmt-16-02-2020.html,OK
2020-02-23,Sunday,KON_TUM,390560,12141,68761,31084,56610,76277,50098,93160,22419,65224,16290,01801,1580,6295,0907,8936,345,72,7b1e08c5b4c103ae,https://xoso.com.vn/xsmt-23-02-2020.html,OK
2020-03-01,Sunday,KON_TUM,605400,41648,50150,57714,06821,12743,48320,23690,96463,78602,85926,12938,0913,5644,3480,9152,268,94,6f1ee2041a87c2b0,https://xoso.com.vn/xsmt-01-03-2020.html,OK
2020-03-08,Sunday,KON_TUM,184615,12669,15885,75157,49589,94435,43160,92149,42164,13879,11908,04005,0305,7747,6369,4595,261,94,7222465bdbe42caf,https://xoso.com.vn/xsmt-08-03-2020.html,OK
2020-03-15,Sunday,KON_TUM,275447,42912,59443,31822,59435,61716,14569,75091,35598,51605,72114,81137,7027,3799,0537,9306,898,97,70449c9220f65cbc,https://xoso.com.vn/xsmt-15-03-2020.html,OK
2020-03-22,Sunday,KON_TUM,561978,38074,15226,69728,71154,56545,67394,34939,26718,77745,73769,45285,1604,1432,0964,3494,435,54,956af9270bd46b5a,https://xoso.com.vn/xsmt-22-03-2020.html,OK
2020-03-29,Sunday,KON_TUM,192597,04591,22266,16974,52344,45595,00515,17867,28206,79020,82790,70781,1789,6385,6306,5785,180,50,0799128bcb95803f,https://xoso.com.vn/xsmt-29-03-2020.html,OK
2020-04-26,Sunday,KON_TUM,155397,99128,64089,69986,67683,88078,66144,26147,55070,53944,27779,53680,8441,4676,5451,4213,823,67,b3c527f78812bdbd,https://xoso.com.vn/xsmt-26-04-2020.html,OK
2020-05-03,Sunday,KON_TUM,191411,94894,51725,14130,27605,41993,13747,57764,78279,44837,89376,22829,5241,8899,8054,1018,167,42,4b8f0fce4c8299fb,https://xoso.com.vn/xsmt-03-05-2020.html,OK
2020-05-10,Sunday,KON_TUM,985588,35571,43041,36999,77165,92694,36591,84594,81848,91977,84412,72006,2358,2593,9032,0216,398,78,fa82e40513821388,https://xoso.com.vn/xsmt-10-05-2020.html,OK
2020-05-17,Sunday,KON_TUM,404759,39325,52795,53020,31946,59779,73625,33454,27721,91379,13052,94206,4084,5785,0851,7847,896,12,d76157e1f777644c,https://xoso.com.vn/xsmt-17-05-2020.html,OK
2020-05-24,Sunday,KON_TUM,151901,15370,68666,47363,70629,61842,85106,44537,61521,45884,79211,11495,4670,5870,7027,0349,668,65,edd3763ebf61bbc6,https://xoso.com.vn/xsmt-24-05-2020.html,OK
2020-05-31,Sunday,KON_TUM,140266,18874,65940,61461,25841,27030,88830,82731,19700,23588,69457,89295,2787,0795,4763,4842,853,68,dfd7df77060d8503,https://xoso.com.vn/xsmt-31-05-2020.html,OK
2020-06-07,Sunday,KON_TUM,415638,42439,29562,43014,17701,72146,42022,74613,20181,74854,32107,95034,8206,4027,5273,5672,860,90,ba645b9f4cc76a5f,https://xoso.com.vn/xsmt-07-06-2020.html,OK
2020-06-14,Sunday,KON_TUM,482548,36681,28703,14627,73126,93810,13334,49316,96471,14069,75174,05027,3030,4140,6095,5017,073,51,f72d92d9f755c751,https://xoso.com.vn/xsmt-14-06-2020.html,OK
2020-06-21,Sunday,KON_TUM,423701,90682,59350,75911,79453,16778,29697,84540,31341,38347,97494,25868,8960,4338,5094,2942,385,91,89b08e1a1aa5ad01,https://xoso.com.vn/xsmt-21-06-2020.html,OK
2020-06-28,Sunday,KON_TUM,551158,16502,78859,12326,36631,38778,85517,72681,65381,14692,54233,40073,9817,6650,7010,8286,606,00,240786643fa29485,https://xoso.com.vn/xsmt-28-06-2020.html,OK
