date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-01-01,Wednesday,KHANH_HOA,279765,06467,61368,00416,65695,55632,94435,62520,89162,71817,95961,03191,3430,6625,0305,5174,322,48,da08b8b0566e8271,https://xoso.com.vn/xsmt-01-01-2020.html,OK
2020-01-05,Sunday,KHANH_HOA,417146,80175,45960,19044,50598,84161,18498,34912,37461,02571,93695,59170,4528,4456,2277,6922,368,30,8de009196d127c2b,https://xoso.com.vn/xsmt-05-01-2020.html,OK
2020-01-05,Sunday,KON_TUM,706355,61472,60825,96808,63816,47336,91521,16757,61106,19075,70234,84476,1471,1658,1604,6818,611,19,f27dc1130dc72e37,https://xoso.com.vn/xsmt-05-01-2020.html,OK
2020-01-06,Monday,HUE,247502,93524,86152,67114,21218,32651,88412,39006,66241,65245,05344,25332,7307,0610,0783,4410,423,93,e10574512f2d9ce2,https://xoso.com.vn/xsmt-06-01-2020.html,OK
2020-01-08,Wednesday,KHANH_HOA,044140,31058,61284,46239,22375,22811,59327,65856,71349,69094,43962,63488,0383,7644,0092,5106,286,18,92b30c7ab594f5c3,https://xoso.com.vn/xsmt-08-01-2020.html,OK
2020-01-12,Sunday,KHANH_HOA,158570,09521,14839,38491,46869,89982,89942,35046,52268,89944,82097,62882,8275,2654,8654,6923,081,65,aaefdca32c00d85a,https://xoso.com.vn/xsmt-12-01-2020.html,OK
2020-01-12,Sunday,KON_TUM,126760,13214,91696,78844,82845,80574,11184,33769,45823,48439,74979,91024,7970,8642,5778,0139,947,73,613ff7b980a339e7,https://xoso.com.vn/xsmt-12-01-2020.html,OK
2020-01-13,Monday,HUE,060496,42134,79341,13153,07509,18590,19186,41338,17028,45085,34121,24277,3043,7709,9901,1735,614,03,aa875ff238313ccd,https://xoso.com.vn/xsmt-13-01-2020.html,OK
2020-01-15,Wednesday,KHANH_HOA,862898,30183,24915,53020,85050,92304,99993,21542,27978,30590,09393,68759,8365,4991,7644,8851,050,29,ab138a302d62f01c,https://xoso.com.vn/xsmt-15-01-2020.html,OK
2020-01-19,Sunday,KHANH_HOA,606142,19726,29756,66835,28543,64041,23718,94598,71639,67477,32510,61939,7154,6219,3637,2514,364,80,34fa4ed6dca38517,https://xoso.com.vn/xsmt-19-01-2020.html,OK
2020-01-19,Sunday,KON_TUM,333664,54229,68901,19704,49006,47627,86403,67540,12549,58644,12742,75360,3724,3502,3470,6242,214,89,8aad2cc5fcc639ff,https://xoso.com.vn/xsmt-19-01-2020.html,OK
2020-01-20,Monday,HUE,029735,67589,29179,94276,57102,40124,28100,12322,06990,78741,64731,88971,4406,7602,4752,3585,384,84,b152d363afe07f9b,https://xoso.com.vn/xsmt-20-01-2020.html,OK
2020-01-22,Wednesday,KHANH_HOA,808803,06879,92981,44030,84241,78728,37913,32568,85357,59453,11673,28946,1575,3998,2461,7808,116,81,d1d9af1996a8b99f,https://xoso.com.vn/xsmt-22-01-2020.html,OK
2020-01-26,Sunday,KHANH_HOA,521281,47108,44366,99921,19190,52184,30449,21512,85948,43049,87935,09106,3415,8170,8947,7875,284,56,a045c506c4864cf2,https://xoso.com.vn/xsmt-26-01-2020.html,OK
2020-01-26,Sunday,KON_TUM,768587,58483,25065,16415,80172,49831,30323,06614,29295,89221,34713,14328,0910,8761,2834,3368,121,91,6c898fd140ac4a2b,https://xoso.com.vn/xsmt-26-01-2020.html,OK
2020-01-27,Monday,HUE,467901,63677,11902,67637,54058,51169,74994,46319,51630,10600,21128,01592,8206,2087,1907,5025,872,70,c124ef8c4f09d14b,https://xoso.com.vn/xsmt-27-01-2020.html,OK
2020-01-29,Wednesday,KHANH_HOA,797386,02493,72188,28083,93736,23185,69580,96007,78495,89815,47199,07436,7248,1045,1760,1490,070,52,b0f0c952ffec80e3,https://xoso.com.vn/xsmt-29-01-2020.html,OK
2020-02-02,Sunday,KHANH_HOA,750166,52919,71224,19884,93125,26897,17420,51547,57112,61719,05154,84033,9066,3900,4261,2815,552,32,0c23c0ed3bd2912f,https://xoso.com.vn/xsmt-02-02-2020.html,OK
2020-02-02,Sunday,KON_TUM,488635,81776,78979,88017,05632,06147,34213,73753,31167,74360,19780,45024,7878,7397,4845,7002,897,99,8233629b78766965,https://xoso.com.vn/xsmt-02-02-2020.html,OK
2020-02-03,Monday,HUE,810522,28060,01391,60291,95587,16015,83955,38377,85836,55040,15638,95041,4019,1535,8540,2270,330,19,797d978a4ecfe63e,https://xoso.com.vn/xsmt-03-02-2020.html,OK
2020-02-05,Wednesday,KHANH_HOA,766997,64582,49365,96604,22847,93861,30353,18176,45091,46459,09953,41434,0104,9149,1411,6853,890,38,fea77cb259bdbba7,https://xoso.com.vn/xsmt-05-02-2020.html,OK
2020-02-09,Sunday,KHANH_HOA,441730,07948,95772,98914,48931,86315,68509,28877,19619,31743,72132,18304,3553,8212,2766,6960,702,29,805721e36eda69f8,https://xoso.com.vn/xsmt-09-02-2020.html,OK
2020-02-09,Sunday,KON_TUM,553673,89884,31519,74108,73779,11681,10324,57006,38036,99732,78312,73104,0395,3340,7262,5280,495,77,c826a0e8b817d215,https://xoso.com.vn/xsmt-09-02-2020.html,OK
2020-02-10,Monday,HUE,986281,63805,88382,49802,68191,77130,30171,79398,11844,54967,27449,23225,6325,7117,9928,8852,101,25,f31124b3025dcb61,https://xoso.com.vn/xsmt-10-02-2020.html,OK
2020-02-12,Wednesday,KHANH_HOA,857781,25171,31161,96994,80466,44934,55167,15790,60549,56023,36806,41269,2198,3315,6190,6793,964,56,21efbc30af879366,https://xoso.com.vn/xsmt-12-02-2020.html,OK
2020-02-16,Sunday,KHANH_HOA,862684,22380,99624,10308,80581,36502,42101,25076,27305,84935,06406,18418,3521,1862,9308,7707,012,04,76ae0ded816d3381,https://xoso.com.vn/xsmt-16-02-2020.html,OK
2020-02-16,Sunday,KON_TUM,082926,26059,82760,97797,21483,09125,48747,09446,85308,24964,47879,39922,9885,7222,5165,1447,422,89,cc86657a23f26b95,https://xoso.com.vn/xsmt-16-02-2020.html,OK
2020-02-17,Monday,HUE,658149,15356,36074,56762,47911,41445,19194,84050,20029,23429,76908,58146,0194,3000,3948,5545,000,96,d64d389879e33dbd,https://xoso.com.vn/xsmt-17-02-2020.html,OK
2020-02-19,Wednesday,KHANH_HOA,257147,84358,27050,80804,91199,77281,40978,62678,62506,43610,72490,75614,4953,5316,4099,4674,381,03,66644b742fd6cd0b,https://xoso.com.vn/xsmt-19-02-2020.html,OK
2020-02-23,Sunday,KHANH_HOA,961014,22160,31652,51159,10703,47816,42541,48558,79941,95217,02176,32189,4047,8108,9054,8672,024,77,e4dac5701fda1bfb,https://xoso.com.vn/xsmt-23-02-2020.html,OK
2020-02-23,Sunday,KON_TUM,390560,12141,68761,31084,56610,76277,50098,93160,22419,65224,16290,01801,1580,6295,0907,8936,345,72,7b1e08c5b4c103ae,https://xoso.com.vn/xsmt-23-02-2020.html,OK
2020-02-24,Monday,HUE,828017,07017,90330,55308,79455,61591,06317,72638,23625,60697,09763,11162,3441,0094,2568,0424,609,85,fa297acbcacfbf71,https://xoso.com.vn/xsmt-24-02-2020.html,OK
2020-02-26,Wednesday,KHANH_HOA,901455,22783,40777,34983,26191,53730,78600,17679,57825,18851,13995,41835,1487,8577,2132,1788,336,05,f7ad9d3b5c57a726,https://xoso.com.vn/xsmt-26-02-2020.html,OK
2020-03-01,Sunday,KHANH_HOA,185095,02375,30956,79014,52010,72138,05381,78511,63678,62880,19814,26422,2276,4703,1018,4522,219,82,0234bb10f1df3240,https://xoso.com.vn/xsmt-01-03-2020.html,OK
2020-03-01,Sunday,KON_TUM,605400,41648,50150,57714,06821,12743,48320,23690,96463,78602,85926,12938,0913,5644,3480,9152,268,94,6f1ee2041a87c2b0,https://xoso.com.vn/xsmt-01-03-2020.html,OK
2020-03-02,Monday,HUE,737783,04724,70971,19037,99877,50293,77665,51128,20866,04520,28185,63294,0708,5054,0869,0647,523,28,c58c7338226c3c31,https://xoso.com.vn/xsmt-02-03-2020.html,OK
2020-03-04,Wednesday,KHANH_HOA,001728,65723,51827,96971,45148,64469,67094,57891,15239,04136,02057,72703,4188,2845,2573,2203,469,93,cc4dd63557671a02,https://xoso.com.vn/xsmt-04-03-2020.html,OK
2020-03-08,Sunday,KHANH_HOA,692810,01724,97082,49030,93347,17272,56681,27120,19149,83742,96280,22865,4980,6288,7423,0629,849,07,0940bbaaf6a38d27,https://xoso.com.vn/xsmt-08-03-2020.html,OK
2020-03-08,Sunday,KON_TUM,184615,12669,15885,75157,49589,94435,43160,92149,42164,13879,11908,04005,0305,7747,6369,4595,261,94,7222465bdbe42caf,https://xoso.com.vn/xsmt-08-03-2020.html,OK
2020-03-09,Monday,HUE,745361,46948,99688,34277,05285,12186,58507,89869,72527,45195,38259,65209,2913,0968,5209,0361,632,39,781c5dcb512baf93,https://xoso.com.vn/xsmt-09-03-2020.html,OK
2020-03-11,Wednesday,KHANH_HOA,927785,69619,00546,60087,15316,39241,78944,82071,78186,66492,60516,67355,1627,9395,3830,7036,096,42,81b63852839a8385,https://xoso.com.vn/xsmt-11-03-2020.html,OK
2020-03-15,Sunday,KHANH_HOA,822730,13259,57918,80290,17465,42703,58230,41024,76249,05318,07901,88088,5323,1283,0805,4797,716,17,40bd827de5ed0abb,https://xoso.com.vn/xsmt-15-03-2020.html,OK
2020-03-15,Sunday,KON_TUM,275447,42912,59443,31822,59435,61716,14569,75091,35598,51605,72114,81137,7027,3799,0537,9306,898,97,70449c9220f65cbc,https://xoso.com.vn/xsmt-15-03-2020.html,OK
2020-03-16,Monday,HUE,690355,48928,94866,53341,80017,85795,18782,16869,87538,49636,20942,11579,4411,0439,0770,6755,341,96,bfc5f55613cfe2ba,https://xoso.com.vn/xsmt-16-03-2020.html,OK
2020-03-18,Wednesday,KHANH_HOA,351676,77197,58677,68231,22079,82015,73127,86369,65094,26304,88505,87110,7581,1921,2809,2709,264,42,63d95f1993a3bafc,https://xoso.com.vn/xsmt-18-03-2020.html,OK
2020-03-22,Sunday,KHANH_HOA,724248,74934,11168,77633,83456,50208,75099,90196,23962,00420,36249,24823,2346,1632,0505,6074,674,30,5e434a9236d2d89c,https://xoso.com.vn/xsmt-22-03-2020.html,OK
2020-03-22,Sunday,KON_TUM,561978,38074,15226,69728,71154,56545,67394,34939,26718,77745,73769,45285,1604,1432,0964,3494,435,54,956af9270bd46b5a,https://xoso.com.vn/xsmt-22-03-2020.html,OK
2020-03-23,Monday,HUE,524007,03770,60108,16402,30197,90634,23117,58143,29719,20247,34011,26904,1922,9608,1123,0723,759,11,a7166631dba3376a,https://xoso.com.vn/xsmt-23-03-2020.html,OK
2020-03-25,Wednesday,KHANH_HOA,856476,53271,20953,14722,16989,43372,65453,23596,82719,55772,27912,53996,2711,3657,1962,3199,498,12,1e4e739dccf58443,https://xoso.com.vn/xsmt-25-03-2020.html,OK
2020-03-29,Sunday,KHANH_HOA,048372,46260,12641,53371,83935,66893,81863,70253,02359,13759,31973,09708,1331,7333,3704,5382,148,12,595b6bf3bd0e9f84,https://xoso.com.vn/xsmt-29-03-2020.html,OK
2020-03-29,Sunday,KON_TUM,192597,04591,22266,16974,52344,45595,00515,17867,28206,79020,82790,70781,1789,6385,6306,5785,180,50,0799128bcb95803f,https://xoso.com.vn/xsmt-29-03-2020.html,OK
2020-03-30,Monday,HUE,381455,57756,46230,60537,64001,55403,24975,24225,24048,15461,79113,99176,4842,6016,2671,5692,924,17,2563f981f0e706f2,https://xoso.com.vn/xsmt-30-03-2020.html,OK
2020-04-26,Sunday,KHANH_HOA,493991,18824,92127,80550,70100,68814,40561,14216,33899,81201,78340,64965,5012,7517,7256,5190,795,09,8987c001ef2ef4f8,https://xoso.com.vn/xsmt-26-04-2020.html,OK
2020-04-26,Sunday,KON_TUM,155397,99128,64089,69986,67683,88078,66144,26147,55070,53944,27779,53680,8441,4676,5451,4213,823,67,b3c527f78812bdbd,https://xoso.com.vn/xsmt-26-04-2020.html,OK
2020-04-27,Monday,HUE,373307,48337,82598,33357,43735,54254,33814,97273,69323,82808,55474,49618,1393,1027,7974,7589,249,28,9415ce460ad4efc0,https://xoso.com.vn/xsmt-27-04-2020.html,OK
